row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại –Thuyết minh số 38),numeric__Năm nay,numeric__Năm trước(Trình bày lại –Thuyết minh số 38)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,346.531.044.710,309.040.061.992,346531044710.0,309040061992.0
Thuế TNDN theo thuế suất phố thông 20%,Thuế TNDN theo thuế suất phố thông 20%,Thuế TNDN theo thuế suất phố thông 20%,69.306.208.942,61.808.012.398,69306208942.0,61808012398.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh giảm: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,18.963.984.649,29.747.330.659,18963984649.0,29747330659.0
Tái sản thuế thu nhập hoãn lại chưa được ghi nhận,Các khoản điều chỉnh giảm: > Tái sản thuế thu nhập hoãn lại chưa được ghi nhận,Tái sản thuế thu nhập hoãn lại chưa được ghi nhận,1.287.578.364,5.351.058.249,1287578364.0,5351058249.0
Ảnh hưởng của việc chia lãi từ các công ty liên kết,Các khoản điều chỉnh giảm: > Ảnh hưởng của việc chia lãi từ các công ty liên kết,Ảnh hưởng của việc chia lãi từ các công ty liên kết,(5.759.986.896),(237.875.661),-5759986896.0,-237875661.0
Thu nhập không chịu thuế,Các khoản điều chỉnh giảm: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,-,(2.282.601.154),,-2282601154.0
Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Các khoản điều chỉnh giảm: > Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,Điều chỉnh thuế TNDN trích (thừa) thiếu trong những năm trước,(4.981.096.635),11.766.716.673,-4981096635.0,11766716673.0
Lỗ được chuyển,Các khoản điều chỉnh giảm: > Lỗ được chuyển,Lỗ được chuyển,(10.263.818.929),(4.576.695.250),-10263818929.0,-4576695250.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,68.552.869.495,101.575.945.914,68552869495.0,101575945914.0
