row_label_raw,row_label_full,Bên vay,Số cuối nămVND,Ngày đảo hạn,Lãi suất%/năm,numeric__Số cuối nămVND,numeric__Ngày đảo hạn,numeric__Lãi suất%/năm
Cho vay ngắn hạn bên khác,Cho vay ngắn hạn bên khác,Cho vay ngắn hạn bên khác,Cho vay ngắn hạn bên khác,Cho vay ngắn hạn bên khác,Cho vay ngắn hạn bên khác,,,
Công ty Cổ phần Thục phẩm CJ Cầu Tre,Cho vay ngắn hạn bên khác > Công ty Cổ phần Thục phẩm CJ Cầu Tre,Công ty Cổ phần Thục phẩm CJ Cầu Tre,156.000.000.000,Ngày 15 tháng 11năm 2020,"10,5",156000000000.0,,10.5
Công ty Cổ phần Đầu tư Phát Triển Tân Sơn Nhất,Cho vay ngắn hạn bên khác > Công ty Cổ phần Đầu tư Phát Triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát Triển Tân Sơn Nhất,32.185.000.000,Ngày 27 tháng 11năm 2020,"11,5 - 12,0",32185000000.0,,
Đăng Nhân Dung,Cho vay ngắn hạn bên khác > Đăng Nhân Dung,Đăng Nhân Dung,14.000.000.000,Ngày 20 tháng 3năm 2020,"10,5",14000000000.0,,10.5
TỔNG CỘNG,Cho vay ngắn hạn bên khác > TỔNG CỘNG,TỔNG CỘNG,202.185.000.000,,,202185000000.0,,
Cho vay dài hạn bên liên quan,Cho vay dài hạn bên liên quan,Cho vay dài hạn bên liên quan,Cho vay dài hạn bên liên quan,Cho vay dài hạn bên liên quan,Cho vay dài hạn bên liên quan,,,
Trần Lam Thông,Cho vay dài hạn bên liên quan > Trần Lam Thông,Trần Lam Thông,616.666.659,Ngày 9 tháng 1năm 2023,"10,5",616666659.0,,10.5
