row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,,,,
Công ty TNHH MTV Dịch Vụ Bất Đồng Sản Minh Anh,Phải thu khách hàng ngắn hạn > Công ty TNHH MTV Dịch Vụ Bất Đồng Sản Minh Anh,Công ty TNHH MTV Dịch Vụ Bất Đồng Sản Minh Anh,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,208.500.000.000,-,,,208500000000.0,
Công ty Cổ phần May Tiến Phát,Phải thu khách hàng ngắn hạn > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Bán hàng hóa và dịch vụ,64.264.644.561,148.990.257.866,,,64264644561.0,148990257866.0
Trần Lam Thông,Phải thu khách hàng ngắn hạn > Trần Lam Thông,Trần Lam Thông,Cổ đông,Phải thu chuyển nhượng cổ phiếu,28.740.000.000,28.470.000.000,,,28740000000.0,28470000000.0
Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu khách hàng ngắn hạn > Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Bán hàng hóa và dịch vụ,6.926.700.000,-,,,6926700000.0,
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,6.000.000.000,26.000.000.000,,,6000000000.0,26000000000.0
Công ty Cổ phần Xuất nhập khẩu Bến Tre,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Xuất nhập khẩu Bến Tre,Công ty Cổ phần Xuất nhập khẩu Bến Tre,Cổ đông,Bán hàng hóa và dịch vụ,4.355.475.053,6.092.104.364,,,4355475053.0,6092104364.0
Công ty Cổ phần Toàn Hải Văn,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Toàn Hải Văn,Công ty Cổ phần Toàn Hải Văn,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,1.205.544.303,697.828.871,,,1205544303.0,697828871.0
Công ty Cổ phần Đầu tư và Thương Mại Thuận Thiên,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Đầu tư và Thương Mại Thuận Thiên,Công ty Cổ phần Đầu tư và Thương Mại Thuận Thiên,Cổ đông,Bán hàng hóa và dịch vụ,592.639.108,592.639.108,,,592639108.0,592639108.0
Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Phải thu khách hàng ngắn hạn > Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Công ty TNHH MTV Tư Văn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,537.921.000,-,,,537921000.0,
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Bán hàng hóa và dịch vụ,421.476.214,-,,,421476214.0,
Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Phải thu khách hàng ngắn hạn > Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Bán hàng hóa và dịch,291.510.549,159.031.174,,,291510549.0,159031174.0
Huỳnh Thảo Linh,Phải thu khách hàng ngắn hạn > Huỳnh Thảo Linh,Huỳnh Thảo Linh,Chủ tịch công ty con,Bán hàng hóa và dịch vụ,142.275.135,-,,,142275135.0,
Công ty Cổ phần Đầu tư Thành Thành Công Công,Phải thu khách hàng ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công Công,Công ty Cổ phần Đầu tư Thành Thành Công Công,Cổ đông,Bán hàng hóa và dịch vụ,34.815.000,934.941.785,,,34815000.0,934941785.0
