row_label_raw,row_label_full,Các bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),Phải thu khách hàng ngắn hạn (tiếp theo),,,,
Công ty Cổ phần Thành Thành Nam,Phải thu khách hàng ngắn hạn (tiếp theo) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,33.165.000,-,,,33165000.0,
Công ty Cổ phần Thành Thành Công – Biên Hòa,Phải thu khách hàng ngắn hạn (tiếp theo) > Công ty Cổ phần Thành Thành Công – Biên Hòa,Công ty Cổ phần Thành Thành Công – Biên Hòa,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,14.025.000,1.010.036.878,,,14025000.0,1010036878.0
Bùi Tiến Thắng,Phải thu khách hàng ngắn hạn (tiếp theo) > Bùi Tiến Thắng,Bùi Tiến Thắng,Chủ tịch công ty con,Bán hàng hóa và dịch vụ,12.000.000,-,,,12000000.0,
Công ty Cổ phần Du lịch Thành Thành Công,Phải thu khách hàng ngắn hạn (tiếp theo) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,3.905.000,313.354.400,,,3905000.0,313354400.0
