row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Trình bày lại – Thuyết minh số 38),numeric__Số cuối năm,numeric__VND Số đầu năm (Trình bày lại – Thuyết minh số 38)
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.712.251.807.582,1.253.666.037.810,1712251807582.0,1253666037810.0
Tiền đặt coc nhận từ cả nhân đề mua căn hộ,Tiền đặt coc nhận từ cả nhân đề mua căn hộ,Tiền đặt coc nhận từ cả nhân đề mua căn hộ,1.619.267.929.825,1.132.424.676.737,1619267929825.0,1132424676737.0
Phải trả liên quan đến thanh lý hợp đồng,Phải trả liên quan đến thanh lý hợp đồng,Phải trả liên quan đến thanh lý hợp đồng,33.292.874.452,53.861.710.522,33292874452.0,53861710522.0
"Kỳ cược, ký quỹ","Kỳ cược, ký quỹ","Kỳ cược, ký quỹ",23.800.735.920,17.543.514.550,23800735920.0,17543514550.0
Quỹ bảo trì,Quỹ bảo trì,Quỹ bảo trì,10.560.829.150,14.067.000.617,10560829150.0,14067000617.0
Lãi vay,Lãi vay,Lãi vay,9.661.585.482,-,9661585482.0,
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,8.819.878.086,7.563.223.579,8819878086.0,7563223579.0
"Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thắt nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thắt nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thắt nghiệp",332.477.431,234.145.029,332477431.0,234145029.0
Khác,Khác,Khác,6.515.497.236,27.971.766.776,6515497236.0,27971766776.0
Dài hạn,Dài hạn,Dài hạn,54.468.018.118,27.078.926.478,54468018118.0,27078926478.0
"Kỳ cược, ký quỹ","Kỳ cược, ký quỹ","Kỳ cược, ký quỹ",54.368.018.118,26.978.926.478,54368018118.0,26978926478.0
Khác,Khác,Khác,100.000.000,100.000.000,100000000.0,100000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.766.719.825.700,1.280.744.964.288,1766719825700.0,1280744964288.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,1.722.475.915.905,1.225.594.402.766,1722475915905.0,1225594402766.0
Phải trả bên liên quan (Thuyết minh số 35),Trong đó: > Phải trả bên liên quan (Thuyết minh số 35),Phải trả bên liên quan (Thuyết minh số 35),44.243.909.795,55.150.561.522,44243909795.0,55150561522.0
