row_label_raw,row_label_full,col_0,Dự phòngchi phí bảo dưỡngVND,Dự phòng hoàn trảtài sản thuêVND,TổngVND,numeric__Dự phòngchi phí bảo dưỡngVND,numeric__Dự phòng hoàn trảtài sản thuêVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,10.251.477.067.489,803.223.508.716,11.054.700.576.205,10251477067489.0,803223508716.0,11054700576205.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,2.330.818.626.053,97.899.464.620,2.428.718.090.673,2330818626053.0,97899464620.0,2428718090673.0
Giá trị thời gian của dòng tiền đãđược chiết khấu,Giá trị thời gian của dòng tiền đãđược chiết khấu,Giá trị thời gian của dòng tiền đãđược chiết khấu,177.927.395.238,51.564.354.670,229.491.749.908,177927395238.0,51564354670.0,229491749908.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(901.164.746.229),-,(901.164.746.229),-901164746229.0,,-901164746229.0
Dự phòng xóa sổ trong năm,Dự phòng xóa sổ trong năm,Dự phòng xóa sổ trong năm,(98.612.713.914),-,(98.612.713.914),-98612713914.0,,-98612713914.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(25.060.510.148),(3.834.280.113),(28.894.790.261),-25060510148.0,-3834280113.0,-28894790261.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,11.735.385.118.489,948.853.047.893,12.684.238.166.382,11735385118489.0,948853047893.0,12684238166382.0
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.006.489.399.369,18.501.911.457,2.024.991.310.826,2006489399369.0,18501911457.0,2024991310826.0
Dài hạn,Dài hạn,Dài hạn,9.728.895.719.120,930.351.136.436,10.659.246.855.556,9728895719120.0,930351136436.0,10659246855556.0
,,,11.735.385.118.489,948.853.047.893,12.684.238.166.382,11735385118489.0,948853047893.0,12684238166382.0
