row_label_raw,row_label_full,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,Tỷ lệ sở hữu/quyền biểu quyết,Tỷ lệ sở hữu/quyền biểu quyết_1,numeric__Nơi thành lập,numeric__Các hoạt động chính,numeric__Giấy chứng nhận Đăng ký Doanh nghiệp,numeric__Tỷ lệ sở hữu/quyền biểu quyết,numeric__Tỷ lệ sở hữu/quyền biểu quyết_1
Tên,Tên,Tên,Nơi thành lập,Các hoạt động chính,Giấy chứng nhận Đăng ký Doanh nghiệp,31/12/2019,1/1/2019,,,,,
Vietjet Air Ireland No. 1 Limited (i),Tên > Vietjet Air Ireland No. 1 Limited (i),Vietjet Air Ireland No. 1 Limited (i),Ireland,Kinh doanh và cho thuê tàu bay.,Số 544879 ngày3 tháng 6 năm 2014,100%,100%,,,,1.0,1.0
Skymate Limited (i),Tên > Skymate Limited (i),Skymate Limited (i),Cayman Islands,Kinh doanh tàu bay.,Số 327015 ngày15 tháng 9 năm 2017,100%,100%,,,,1.0,1.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,
"Thai Vietjet Air Joint Stock Co., Ltd. (i) (ii) (iii)","Các công ty liên kết > Thai Vietjet Air Joint Stock Co., Ltd. (i) (ii) (iii)","Thai Vietjet Air Joint Stock Co., Ltd. (i) (ii) (iii)",Thái Lan,Cung cấp dịch vụ vận chuyển hàng hóa và hành khách và các dịch vụ liên quan khác.,Số 0105556100551ngày 25 tháng 6 năm 2013,9%,9%,,,,0.09,0.09
Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (ii),Các công ty liên kết > Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (ii),Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (ii),Việt Nam,Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không.,Số 4201676638 ngày5 tháng 2 năm 2016,10%,10%,,,,0.1,0.1
