row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2019 VND,1/1/2019 VND,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,,
"Chi phí trả hộ và lãi phải thu từ Thai Vietjet Air Joint Stock Co., Ltd.","Các bên liên quan > Chi phí trả hộ và lãi phải thu từ Thai Vietjet Air Joint Stock Co., Ltd.","Chi phí trả hộ và lãi phải thu từ Thai Vietjet Air Joint Stock Co., Ltd.",(i),1.497.295.868.392,682.477.343.933,,1497295868392.0,682477343933.0
Khoản phải thu khác từ Angelica Holding Limited (Thuyết minh 9(b)),Các bên liên quan > Khoản phải thu khác từ Angelica Holding Limited (Thuyết minh 9(b)),Khoản phải thu khác từ Angelica Holding Limited (Thuyết minh 9(b)),,147.875.000.000,147.875.000.000,,147875000000.0,147875000000.0
Phải thu từ thanh lý các công ty con từ Angelica Aircraft Assets Limited,Các bên liên quan > Phải thu từ thanh lý các công ty con từ Angelica Aircraft Assets Limited,Phải thu từ thanh lý các công ty con từ Angelica Aircraft Assets Limited,(ii),16.271.500.000,16.271.500.000,,16271500000.0,16271500000.0
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8577 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8577 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8577 Limited,(ii),15.933.828.183,13.457.758.507,,15933828183.0,13457758507.0
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8605 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8605 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8605 Limited,(ii),18.852.469.619,10.822.745.608,,18852469619.0,10822745608.0
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8592 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8592 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8592 Limited,(ii),14.159.505.296,11.492.488.965,,14159505296.0,11492488965.0
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8937 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8937 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8937 Limited,(ii),13.663.861.670,-,,13663861670.0,
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8670 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8670 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8670 Limited,(ii),12.730.983.649,-,,12730983649.0,
Chi phí trả hộ Apricot Aircraft Company (Ireland) 8676 Limited,Các bên liên quan > Chi phí trả hộ Apricot Aircraft Company (Ireland) 8676 Limited,Chi phí trả hộ Apricot Aircraft Company (Ireland) 8676 Limited,(ii),12.730.983.649,-,,12730983649.0,
Lãi phải thu từ cho vay từ Công ty Cổ phần Thương mại Thùy Dương – Đức Bình,Các bên liên quan > Lãi phải thu từ cho vay từ Công ty Cổ phần Thương mại Thùy Dương – Đức Bình,Lãi phải thu từ cho vay từ Công ty Cổ phần Thương mại Thùy Dương – Đức Bình,(ii),221.293.863.014,-,,221293863014.0,
Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,,,
Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Các bên thứ ba > Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,Đặt cọc mua tàu bay nhận trong 12 tháng tiếp theo,(iii),3.105.297.136.367,3.475.240.954.627,,3105297136367.0,3475240954627.0
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Các bên thứ ba > Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,,2.078.881.774.817,1.184.688.761.520,,2078881774817.0,1184688761520.0
Khoản chiết khấu mua hàng phải thu,Các bên thứ ba > Khoản chiết khấu mua hàng phải thu,Khoản chiết khấu mua hàng phải thu,,482.424.813.352,523.752.417.852,,482424813352.0,523752417852.0
Phải thu từ quỹ bảo dưỡng tàu bay thuê,Các bên thứ ba > Phải thu từ quỹ bảo dưỡng tàu bay thuê,Phải thu từ quỹ bảo dưỡng tàu bay thuê,,282.879.455.806,237.582.261.399,,282879455806.0,237582261399.0
Đặt cọc dịch vụ mặt đất,Các bên thứ ba > Đặt cọc dịch vụ mặt đất,Đặt cọc dịch vụ mặt đất,,125.182.456.527,57.512.041.265,,125182456527.0,57512041265.0
Lãi tiền gửi ngân hàng và cho vay,Các bên thứ ba > Lãi tiền gửi ngân hàng và cho vay,Lãi tiền gửi ngân hàng và cho vay,,34.043.550.823,23.249.522.451,,34043550823.0,23249522451.0
Ủy thác đầu tư thay cho Tập đoàn,Các bên thứ ba > Ủy thác đầu tư thay cho Tập đoàn,Ủy thác đầu tư thay cho Tập đoàn,(iv),19.426.390.810,-,,19426390810.0,
Đặt cọc mua cổ phiếu,Các bên thứ ba > Đặt cọc mua cổ phiếu,Đặt cọc mua cổ phiếu,,-,142.840.350.000,,,142840350000.0
Phải thu ngắn hạn khác,Các bên thứ ba > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,355.126.453.316,205.263.398.227,,355126453316.0,205263398227.0
,,,,8.454.069.895.290,6.732.526.544.354,,8454069895290.0,6732526544354.0
