row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2019VND > 67.172.238.551,Số phải nộpVND > 1.692.845.872.086,Số đã nộpVND > (338.662.962.632),Số đã cán trừVND > (1.390.782.095.540),Số phân loại lạiVND > -,31/12/2019VND > 30.573.052.465,numeric__1/1/2019VND > 67.172.238.551,numeric__Số phải nộpVND > 1.692.845.872.086,numeric__Số đã nộpVND > (338.662.962.632),numeric__Số đã cán trừVND > (1.390.782.095.540),numeric__Số phân loại lạiVND > -,numeric__31/12/2019VND > 30.573.052.465
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,30.423.288.123,656.785.095.701,(633.356.427.049),-,-,53.851.956.775,30423288123.0,656785095701.0,-633356427049.0,,,53851956775.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,106.932.386.619,741.648.874.040,(471.622.340.241),(196.215.657),-,376.762.704.761,106932386619.0,741648874040.0,-471622340241.0,-196215657.0,,376762704761.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,21.220.061,90.688.175.937,(90.817.470.406),-,8.203.342.171,8.095.267.763,21220061.0,90688175937.0,-90817470406.0,,8203342171.0,8095267763.0
Thuế khác,Thuế khác,Thuế khác,-,33.856.254,(33.856.254),-,-,-,,33856254.0,-33856254.0,,,
,,,204.549.133.354,3.182.001.874.018,(1.534.493.056.582),(1.390.978.311.197),8.203.342.171,469.282.981.764,204549133354.0,3182001874018.0,-1534493056582.0,-1390978311197.0,8203342171.0,469282981764.0
(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,(b) Thuế phải thu Nhà nước,,,,,,
,,,,,1/1/2019VND,Số đã cán trừVND,Số phân loại lạiVND,31/12/2019VND,,,,,,
Thuế nhà thầu nước ngoài,(b) Thuế phải thu Nhà nước > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,,,54.954.537.040,-,8.203.342.171,63.157.879.211,,,54954537040.0,,8203342171.0,63157879211.0
Thuế thu nhập doanh nghiệp,(b) Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,196.215.657,(196.215.657),-,-,,,196215657.0,-196215657.0,,
,,,,,55.150.752.697,(196.215.657),8.203.342.171,63.157.879.211,,,55150752697.0,-196215657.0,8203342171.0,63157879211.0
