row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bayVND,Chi phí hoàn trátài sản thuếVND,Chi phí kiểm tra vàsửa chữa lớnVND,"Phụ tùng xoay vòng,công cụ và dụng cụVND",Chi phíkhácVND,TổngVND,numeric__Chi phí bảo dưỡngtàu bayVND,numeric__Chi phí hoàn trátài sản thuếVND,numeric__Chi phí kiểm tra vàsửa chữa lớnVND,"numeric__Phụ tùng xoay vòng,công cụ và dụng cụVND",numeric__Chi phíkhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.720.653.521.463,565.982.665.674,108.437.500.275,85.964.515.548,707.557.531,6.481.745.760.491,5720653521463.0,565982665674.0,108437500275.0,85964515548.0,707557531.0,6481745760491.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.553.054.020.496,97.899.464.620,109.243.411.064,94.770.289.065,1.957.456.284,1.856.924.641.529,1553054020496.0,97899464620.0,109243411064.0,94770289065.0,1957456284.0,1856924641529.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(1.133.066.562.856),(64.554.968.724),(114.524.795.783),(65.880.416.297),(2.059.091.146),(1.380.085.834.806),-1133066562856.0,-64554968724.0,-114524795783.0,-65880416297.0,-2059091146.0,-1380085834806.0
Xóa số,Xóa số,Xóa số,(357.811.918.112),(9.091.959.232),-,-,-,(366.903.877.344),-357811918112.0,-9091959232.0,,,,-366903877344.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.782.829.060.991,590.235.202.338,103.156.115.556,114.854.388.316,605.922.669,6.591.680.689.870,5782829060991.0,590235202338.0,103156115556.0,114854388316.0,605922669.0,6591680689870.0
