row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2023Triệu đồng,31.12.2022Triệu đồng,,
Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất:,,
Tiền gửi tại các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,43.026.893,26.046.802,43026893.0,26046802.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,120.182,,120182.0
Cho vay khách hàng,Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Cho vay khách hàng,Cho vay khách hàng,140.448.924,130.505.614,140448924.0,130505614.0
Chứng khoán đầu tư (Thuyết minh 8.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Chứng khoán đầu tư (Thuyết minh 8.5),Chứng khoán đầu tư (Thuyết minh 8.5),4.375.000,1.975.000,4375000.0,1975000.0
Các tài sản tài chính khác (Thuyết minh 10.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáotình hình tài chính hợp nhất: > Các tài sản tài chính khác (Thuyết minh 10.4),Các tài sản tài chính khác (Thuyết minh 10.4),1.656.820,1.853.482,1656820.0,1853482.0
,,,189.507.637,160.501.080,189507637.0,160501080.0
Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,Mức rủi ro tín dụng của các khoản mục ngoại bằng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,3.029.491,4.094.909,3029491.0,4094909.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bằng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,1.322.303,2.081.123,1322303.0,2081123.0
,,,4.351.794,6.176.032,4351794.0,6176032.0
,,,193.859.431,166.677.112,193859431.0,166677112.0
