row_label_raw,row_label_full,col_0,2023,2022Tính lại (**),numeric__2023,numeric__2022Tính lại (**)
Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),Lợi nhuận thuần phân bổ cho các cổ đông (Triệu đồng),2.165.099,2.945.752,2165099.0,2945752.0
"Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (Triệu đồng) (*)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (Triệu đồng) (*)","Điều chỉnh giảm số trích quỹ khen thưởng, phúc lợi (Triệu đồng) (*)",-,(200.000),,-200000.0
,,,2.165.099,2.745.752,2165099.0,2745752.0
Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),Bình quân số cổ phiếu phổ thông đang lưu hành (cổ phiếu),1.740.866.148,1.740.866.148,1740866148.0,1740866148.0
Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),Lãi cơ bản trên mỗi cổ phiếu (VND),1.244,1.577,1244.0,1577.0
