row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2022,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2022,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2022,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2022,Trong hạn > Từ 1 - 3 tháng > Ngày 31 tháng 12 năm 2022,Trong hạn > Từ 3 - 12 tháng > Ngày 31 tháng 12 năm 2022,Trong hạn > Từ 1 - 5 năm > Ngày 31 tháng 12 năm 2022,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2022,Đơn vị: Triệu đồng > Tổng cộng > Ngày 31 tháng 12 năm 2022,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2022,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2022,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2022,numeric__Trong hạn > Từ 1 - 3 tháng > Ngày 31 tháng 12 năm 2022,numeric__Trong hạn > Từ 3 - 12 tháng > Ngày 31 tháng 12 năm 2022,numeric__Trong hạn > Từ 1 - 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Đơn vị: Triệu đồng > Tổng cộng > Ngày 31 tháng 12 năm 2022
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,2.125.863,-,-,-,-,2.125.863,,,2125863.0,,,,,2125863.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.584.541,-,-,-,-,5.584.541,,,5584541.0,,,,,5584541.0
Tiền gửi tại các TCTD khác,Tài sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,25.846.802,200.000,-,-,-,26.046.802,,,25846802.0,200000.0,,,,26046802.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,52.981,32.938,34.263,-,-,120.182,,,52981.0,32938.0,34263.0,,,120182.0
Cho vay khách hàng (*) (**),Tài sản > Cho vay khách hàng (*) (**),Cho vay khách hàng (*) (**),2.346.660,1.340.522,9.215.639,29.014.460,50.241.561,14.933.614,23.413.158,130.505.614,2346660.0,1340522.0,9215639.0,29014460.0,50241561.0,14933614.0,23413158.0,130505614.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,7.912.884,-,278.232,1.862.405,6.165.204,16.218.725,,,7912884.0,,278232.0,1862405.0,6165204.0,16218725.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,-,4,184,6.475,193.644,3.070.778,3.271.085,,,4.0,184.0,6475.0,193644.0,3070778.0,3271085.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),465.971,-,850.707,282.748,348.873,1.154.503,-,3.102.802,465971.0,,850707.0,282748.0,348873.0,1154503.0,,3102802.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.812.631,1.340.522,51.589.421,29.530.330,50.909.404,18.144.166,32.649.140,186.975.614,2812631.0,1340522.0,51589421.0,29530330.0,50909404.0,18144166.0,32649140.0,186975614.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,6.446,17.815,-,-,24.261,,,,6446.0,17815.0,,,24261.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.656.726,2.236.300,-,-,-,11.893.026,,,9656726.0,2236300.0,,,,11893026.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,47.324.962,31.288.602,66.467.096,3.533.851,60,148.614.571,,,47324962.0,31288602.0,66467096.0,3533851.0,60.0,148614571.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.419.612,1.167.667,1.226.762,230.252,-,4.044.293,,,1419612.0,1167667.0,1226762.0,230252.0,,4044293.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,58.401.300,34.699.015,67.711.673,3.764.103,60,164.576.151,,,58401300.0,34699015.0,67711673.0,3764103.0,60.0,164576151.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.812.631,1.340.522,(6.811.879),(5.168.685),(16.802.269),14.380.063,32.649.080,22.399.463,2812631.0,1340522.0,-6811879.0,-5168685.0,-16802269.0,14380063.0,32649080.0,22399463.0
