row_label_raw,row_label_full,col_0,2023Triệu đồng,2022Triệu đồng,numeric__2023Triệu đồng,numeric__2022Triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,854.461,469.632,854461.0,469632.0
Thu nhập từ công cụ tài chính phải sinh khác,Thu nhập từ hoạt động khác > Thu nhập từ công cụ tài chính phải sinh khác,Thu nhập từ công cụ tài chính phải sinh khác,35.529,-,35529.0,
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,40.566,61.230,40566.0,61230.0
,,,930.556,530.862,930556.0,530862.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí công cụ tài chính phải sinh khác,Chi phí hoạt động khác > Chi phí công cụ tài chính phải sinh khác,Chi phí công cụ tài chính phải sinh khác,(50.633),-,-50633.0,
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(44.844),(47.880),-44844.0,-47880.0
,,,(95.477),(47.880),-95477.0,-47880.0
Lãi thuần từ hoạt động khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,835.079,482.982,835079.0,482982.0
