row_label_raw,row_label_full,Tên công ty,Giấy phép thành lập và hoạt động,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết_1,numeric__Giấy phép thành lập và hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép thành lập và hoạt động,Lĩnh vực kinh doanh,31.12.2023,31.12.2022,,,31122023.0,31122022.0
Công ty TNHH Một thành viênQuản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viênQuản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viênQuản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,0310280974,Quản lý nợ và khai thác tài sản,100%,100%,310280974.0,,1.0,1.0
