row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịquản lýTriệu đồng,Khác (*)Triệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịquản lýTriệu đồng,numeric__Khác (*)Triệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,456.877,878.846,186.121,44.828,477.148,2.043.820,456877.0,878846.0,186121.0,44828.0,477148.0,2043820.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.897,150.032,277.719,2.791,120.146,557.585,6897.0,150032.0,277719.0,2791.0,120146.0,557585.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.327),(3.874),(781),(2.141),(81.497),(91.620),-3327.0,-3874.0,-781.0,-2141.0,-81497.0,-91620.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(36),(6.169),-,(3.886),10.091,-,-36.0,-6169.0,,-3886.0,10091.0,
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,460.411,1.018.835,463.059,41.592,525.888,2.509.785,460411.0,1018835.0,463059.0,41592.0,525888.0,2509785.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(97.081),(652.547),(164.995),(41.284),(384.353),(1.340.260),-97081.0,-652547.0,-164995.0,-41284.0,-384353.0,-1340260.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(12.581),(65.221),(31.308),(1.904),(38.395),(149.409),-12581.0,-65221.0,-31308.0,-1904.0,-38395.0,-149409.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",2.339,3.874,781,2.137,80.686,89.817,2339.0,3874.0,781.0,2137.0,80686.0,89817.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,36,6.169,-,3.886,(10.091),-,36.0,6169.0,,3886.0,-10091.0,
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(107.287),(707.725),(195.522),(37.165),(352.153),(1.399.852),-107287.0,-707725.0,-195522.0,-37165.0,-352153.0,-1399852.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,359.796,226.299,21.126,3.544,92.795,703.560,359796.0,226299.0,21126.0,3544.0,92795.0,703560.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,353.124,311.110,267.537,4.427,173.735,1.109.933,353124.0,311110.0,267537.0,4427.0,173735.0,1109933.0
