row_label_raw,row_label_full,col_0,31.12.2023%,31.12.2022%,numeric__31.12.2023%,numeric__31.12.2022%
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,"0,00 - 0,50","0,00 - 1,00",,
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng VND > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"0,20 - 11,70","0,20 - 11,70",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,00 - 0,70","0,00 - 0,70",,
Tiền gửi tiết kiệm bằng VND,Tiền gửi tiết kiệm bằng VND,Tiền gửi tiết kiệm bằng VND,"0,20 - 11,70","1,00 - 12,00",,
Tiền gửi tiết kiệm bằng ngoại tệ,Tiền gửi tiết kiệm bằng ngoại tệ,Tiền gửi tiết kiệm bằng ngoại tệ,"0,00 - 0,70","0,00 - 0,70",,
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,"0,00 - 7,80","0,00 - 7,80",,
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng VND > Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,"0,00","0,00",0.0,0.0
Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,"0,20 - 0,50","0,20 - 1,00",,
Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng VND > Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng ngoại tệ,"0,00","0,00",0.0,0.0
