row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023 Triệu đồng,Tại ngày 31 tháng 12 năm > 2022 Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023 Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022 Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,11,19.870,24.261,,11.0,19870.0,24261.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,19.870,24.261,,,19870.0,24261.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,16.363.869,11.893.026,,,16363869.0,11893026.0
1,B > 1,1,Tiền gửi của các TCTD khác,12.1,16.363.869,9.421.326,,121.0,16363869.0,9421326.0
2,B > 2,2,Vay các TCTD khác,12.2,-,2.471.700,,122.0,,2471700.0
III,B > III,III,Tiền gửi của khách hàng,13,156.329.168,148.614.571,,13.0,156329168.0,148614571.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,6,230.822,-,,6.0,230822.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,14,2.000.000,-,,14.0,2000000.0,
VII,B > VII,VII,Các khoản nợ khác,,4.028.107,4.044.293,,,4028107.0,4044293.0
1,B > 1,1,"Các khoản lãi, phí phải trả",15.1,2.552.457,2.489.667,,151.0,2552457.0,2489667.0
3,B > 3,3,Các khoản phải trả và công nợ khác,15.2,1.475.650,1.554.626,,152.0,1475650.0,1554626.0
,,,TỔNG NỘ PHẢI TRẢ,,178.971.836,164.576.151,,,178971836.0,164576151.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,17,22.444.999,20.479.900,,17.0,22444999.0,20479900.0
1,B > 1,1,Vốn của TCTD,,17.563.006,12.448.674,,,17563006.0,12448674.0
a,B > a,a,Vốn điều lệ,,17.469.561,12.355.229,,,17469561.0,12355229.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Quỹ của TCTD,,2.896.986,2.572.222,,,2896986.0,2572222.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.985.007,5.459.004,,,1985007.0,5459004.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,22.444.999,20.479.900,,,22444999.0,20479900.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,201.416.835,185.056.051,,,201416835.0,185056051.0
