row_label_raw,row_label_full,col_0,2023Triệu đồng,2022Triệu đồng,numeric__2023Triệu đồng,numeric__2022Triệu đồng
Cổ đông lớn và các bên liên quan với cổ đông lớn (*),Cổ đông lớn và các bên liên quan với cổ đông lớn (*),Cổ đông lớn và các bên liên quan với cổ đông lớn (*),Cổ đông lớn và các bên liên quan với cổ đông lớn (*),Cổ đông lớn và các bên liên quan với cổ đông lớn (*),,
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,
- Trả lãi tiền gửi,Chi phí > - Trả lãi tiền gửi,- Trả lãi tiền gửi,-,13,,13.0
- Trả lãi tiền vay,Chi phí > - Trả lãi tiền vay,- Trả lãi tiền vay,1.142,14.804,1142.0,14804.0
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,
- Thu nhập lãi tiền gửi,Thu nhập > - Thu nhập lãi tiền gửi,- Thu nhập lãi tiền gửi,866,1.205,866.0,1205.0
- Thu phí dịch vụ thanh toán,Thu nhập > - Thu phí dịch vụ thanh toán,- Thu phí dịch vụ thanh toán,-,795,,795.0
"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này",,
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,
- Trả lãi tiền gửi,Chi phí > - Trả lãi tiền gửi,- Trả lãi tiền gửi,6.231,4.417,6231.0,4417.0
- Chi phí dịch vụ thanh toán,Chi phí > - Chi phí dịch vụ thanh toán,- Chi phí dịch vụ thanh toán,135,56,135.0,56.0
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,
- Thu nhập lãi cho vay,Thu nhập > - Thu nhập lãi cho vay,- Thu nhập lãi cho vay,217,283,217.0,283.0
- Thu phí dịch vụ thanh toán,Thu nhập > - Thu phí dịch vụ thanh toán,- Thu phí dịch vụ thanh toán,35,13,35.0,13.0
"Lương, thường và thủ lao (**)","Thu nhập > Lương, thường và thủ lao (**)","Lương, thường và thủ lao (**)",60.848,116.763,60848.0,116763.0
- Ban Tổng Giám đốc và Kế toán trường,Thu nhập > - Ban Tổng Giám đốc và Kế toán trường,- Ban Tổng Giám đốc và Kế toán trường,21.381,21.834,21381.0,21834.0
- Hội đồng Quản trị,Thu nhập > - Hội đồng Quản trị,- Hội đồng Quản trị,30.467,73.629,30467.0,73629.0
- Ban Kiểm soát,Thu nhập > - Ban Kiểm soát,- Ban Kiểm soát,9.000,21.300,9000.0,21300.0
