row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023Triệu đồng,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,2.257.426,2.125.863,,3.0,2257426.0,2125863.0
II,A > II,II,Tiền gửi tại NHNN,4,4.058.527,5.584.541,,4.0,4058527.0,5584541.0
III,A > III,III,Tiền gửi tại các tổ chức tín dụng (“TCTD”) khác,,43.026.893,26.046.802,,,43026893.0,26046802.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5,43.026.893,26.046.802,,5.0,43026893.0,26046802.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,6,-,120.182,,6.0,,120182.0
VI,A > VI,VI,Cho vay khách hàng,7,138.913.150,129.196.168,,7.0,138913150.0,129196168.0
1,A > 1,1,Cho vay khách hàng,,140.448.924,130.505.614,,,140448924.0,130505614.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(1.535.774),(1.309.446),,,-1535774.0,-1309446.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,6.983.290,16.074.579,,,6983290.0,16074579.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,8.1,3.712.868,2.112.868,,81.0,3712868.0,2112868.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,8.2,3.438.770,14.105.857,,82.0,3438770.0,14105857.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,8.6,(168.348),(144.146),,86.0,-168348.0,-144146.0
X,A > X,X,Tài sản cố định,,3.681.740,3.271.085,,,3681740.0,3271085.0
1,A > 1,1,Tài sản cố định hữu hình,9.1,1.109.933,703.560,,91.0,1109933.0,703560.0
a,A > a,a,Nguyên giá,,2.509.785,2.043.820,,,2509785.0,2043820.0
b,A > b,b,Giá trị hao mòn lũy kế,,(1.399.852),(1.340.260),,,-1399852.0,-1340260.0
3,A > 3,3,Tài sản cố định vô hình,9.2,2.571.807,2.567.525,,92.0,2571807.0,2567525.0
a,A > a,a,Nguyên giá,,2.921.773,2.872.711,,,2921773.0,2872711.0
b,A > b,b,Giá trị hao mòn lũy kế,,(349.966),(305.186),,,-349966.0,-305186.0
XII,A > XII,XII,Tài sản Có khác,,2.495.809,2.636.831,,,2495809.0,2636831.0
1,A > 1,1,Các khoản phải thu,10.1,1.318.563,1.298.858,,101.0,1318563.0,1298858.0
2,A > 2,2,"Các khoản lãi, phí phải thu",10.2,805.637,982.699,,102.0,805637.0,982699.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp (“TNDN”) hoãn lại,16,20.549,20.548,,16.0,20549.0,20548.0
4,A > 4,4,Tài sản Có khác,10.3,817.031,800.697,,103.0,817031.0,800697.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,10.5,(465.971),(465.971),,105.0,-465971.0,-465971.0
,,,TỔNG TÀI SẢN CÓ,,201.416.835,185.056.051,,,201416835.0,185056051.0
