row_label_raw,row_label_full,col_0,31.12.2023Triệu đồng,31.12.2022Triệu đồng,numeric__31.12.2023Triệu đồng,numeric__31.12.2022Triệu đồng
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",50.226.337,49.248.099,50226337.0,49248099.0
"Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộgia đình","Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộgia đình","Hoạt động làm thuê các công việc trong các hộ gia đình,sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộgia đình",19.397.375,10.019.378,19397375.0,10019378.0
"Sản xuất và gia công, chế biến","Sản xuất và gia công, chế biến","Sản xuất và gia công, chế biến",18.534.986,16.267.117,18534986.0,16267117.0
"Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụngđất để xây nhà ở","Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụngđất để xây nhà ở","Cho vay cá nhân đề mua nhà để ở, nhận quyền sử dụngđất để xây nhà ở",17.105.295,19.943.997,17105295.0,19943997.0
Xây dựng,Xây dựng,Xây dựng,13.223.694,13.528.536,13223694.0,13528536.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",5.832.431,5.438.352,5832431.0,5438352.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,2.538.319,2.933.217,2538319.0,2933217.0
Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,Hoạt động tài chính và bảo hiểm,1.913.784,812.456,1913784.0,812456.0
"Vận tải, kho bãi","Vận tải, kho bãi","Vận tải, kho bãi",1.754.909,1.991.496,1754909.0,1991496.0
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nướcvà điều hòa không khí",1.340.075,1.962.108,1340075.0,1962108.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.087.397,1.266.802,1087397.0,1266802.0
Khai khoáng,Khai khoáng,Khai khoáng,648.204,130.903,648204.0,130903.0
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,313.662,303.501,313662.0,303501.0
"Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước, hoạt động quản lý và xử lý rác thải, nước thải",277.268,346.186,277268.0,346186.0
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,217.490,210.757,217490.0,210757.0
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",207.983,226.362,207983.0,226362.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,174.366,164.819,174366.0,164819.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,92.109,74.970,92109.0,74970.0
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",73.046,63.038,73046.0,63038.0
Khác,Khác,Khác,5.490.194,5.573.520,5490194.0,5573520.0
,,,140.448.924,130.505.614,140448924.0,130505614.0
