row_label_raw,row_label_full,col_0,col_1,31.12.2023Triệu đồng,31.12.2022Triệu đồng,numeric__col_1,numeric__31.12.2023Triệu đồng,numeric__31.12.2022Triệu đồng
,,,,31.12.2023Triệu đồng,31.12.2022Triệu đồng,,,
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,,,,,
- Bằng VND,Tiền gửi không kỳ hạn > - Bằng VND,- Bằng VND,- Bằng VND,78.732,71.445,,78732.0,71445.0
- Bằng ngoại tệ,Tiền gửi không kỳ hạn > - Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,401,391,,401.0,391.0
,,,,79.133,71.836,,79133.0,71836.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,,,,
- Bằng VND,Tiền gửi có kỳ hạn > - Bằng VND,- Bằng VND,- Bằng VND,12.168.400,6.560.000,,12168400.0,6560000.0
- Bằng ngoại tệ,Tiền gửi có kỳ hạn > - Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,4.116.336,2.789.490,,4116336.0,2789490.0
,,,,16.284.736,9.349.490,,16284736.0,9349490.0
,,,,16.363.869,9.421.326,,16363869.0,9421326.0
12.2,12.2,12.2,Vay các TCTD khác,,,,,
,,,,31.12.2023Triệu đồng,31.12.2022Triệu đồng,,,
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,,,,,
- Bằng ngoại tệ,Vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,-,2.471.700,,,2471700.0
12.3,12.3,12.3,Mức lãi suất hàng năm được áp dụng cho số dư tại ngày:,,,,,
,,,,31.12.2023%,31.12.2022%,,311220.23,311220.22
Tiền gửi không kỳ hạn bằng VND và bằng ngoại tệ,Tiền gửi không kỳ hạn bằng VND và bằng ngoại tệ,Tiền gửi không kỳ hạn bằng VND và bằng ngoại tệ,Tiền gửi không kỳ hạn bằng VND và bằng ngoại tệ,"0,00 - 0,10","0,00 - 0,10",,,
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"1,00 - 3,50","4,00 - 8,00",,,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"5,00 - 5,35","4,10 - 4,25",,,
Vay bằng ngoại tệ,Vay bằng ngoại tệ,Vay bằng ngoại tệ,Vay bằng ngoại tệ,Không áp dụng,"4,25 - 5,64",,,
