row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1
,,,2016VND,2015VND,,
"Ebisumo Logistic Co., Ltd.","Ebisumo Logistic Co., Ltd.","Ebisumo Logistic Co., Ltd.","Ebisumo Logistic Co., Ltd.","Ebisumo Logistic Co., Ltd.",,
Bán thành phẩm,"Ebisumo Logistic Co., Ltd. > Bán thành phẩm",Bán thành phẩm,971.069.381,-,971069381.0,
Góp vốn,"Ebisumo Logistic Co., Ltd. > Góp vốn",Góp vốn,935.000.000,-,935000000.0,
Công ty TNHH Thực phẩm Minh Phú,Công ty TNHH Thực phẩm Minh Phú,Công ty TNHH Thực phẩm Minh Phú,Công ty TNHH Thực phẩm Minh Phú,Công ty TNHH Thực phẩm Minh Phú,,
Góp vốn,Công ty TNHH Thực phẩm Minh Phú > Góp vốn,Góp vốn,20.000.000,-,20000000.0,
Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong,Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong,Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong,Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong,Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong,,
Bán hàng hóa,Công ty TNHH Dịch vụ Kỹ thuật Nuôi trồngThủy sản Minh Phú Aquamekong > Bán hàng hóa,Bán hàng hóa,-,1.019.072.564,,1019072564.0
Công ty TNHH Tiếp vận Mekong,Công ty TNHH Tiếp vận Mekong,Công ty TNHH Tiếp vận Mekong,Công ty TNHH Tiếp vận Mekong,Công ty TNHH Tiếp vận Mekong,,
Cho vay,Công ty TNHH Tiếp vận Mekong > Cho vay,Cho vay,10.000.000.000,-,10000000000.0,
Cung cấp dịch vụ,Công ty TNHH Tiếp vận Mekong > Cung cấp dịch vụ,Cung cấp dịch vụ,2.590.410.240,-,2590410240.0,
Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,Công ty Cổ phần Đầu tư Long Phụng,,
Thuê văn phòng,Công ty Cổ phần Đầu tư Long Phụng > Thuê văn phòng,Thuê văn phòng,1.829.200.255,2.259.261.422,1829200255.0,2259261422.0
