row_label_raw,row_label_full,col_0,Vốn góp,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.218.700.000.000,5.000.000.000,44.761.104.704,2.268.461.104.7044,2218700000000.0,5000000000.0,44761104704.0,22684611047044.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,463.441.604.568,463.441.604.568,,,463441604568.0,463441604568.0
- Phân phối lợi nhuận cho chủ sở hữu,Năm trước > - Phân phối lợi nhuận cho chủ sở hữu,- Phân phối lợi nhuận cho chủ sở hữu,-,-,(245.000.000.000),(245.000.000.000),,,-245000000000.0,-245000000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.218.700.000.000,5.000.000.000,263.202.709.272,2.486.902.709.272,2218700000000.0,5000000000.0,263202709272.0,2486902709272.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.218.700.000.000,5.000.000.00,263.202.709.27,2.486.902.709.27,2218700000000.0,500000000.0,26320270927.0,248690270927.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,190.858.207.715,190.858.207.715,,,190858207715.0,190858207715.0
- Phân phối lợi nhuận cho chủ sở hữu (*),Năm nay > - Phân phối lợi nhuận cho chủ sở hữu (*),- Phân phối lợi nhuận cho chủ sở hữu (*),-,-,(427.496.000.000),(427.496.000.000),,,-427496000000.0,-427496000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.218.700.000.000,5.000.000.000,26.564.916.987,2.250.264.916.987,2218700000000.0,5000000000.0,26564916987.0,2250264916987.0
