row_label_raw,row_label_full,Bên liên quan > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Mối quanhệ > Công tymệ,Nội dung nghiệp vụ > Mua hàng hóa và dịch vụ > Lãi ký quỹ mua vật tư được nhận > Đi vay > Trả tiền vay > Lãi đi vay > Lợi nhuận đã trả về công ty mẹ > Ký quỹ mua nguyên vật liệu > Thu lại tiền ký quỹ,Năm nay > 2.050.966.635 > 37.534.246.573 > 2.947.671.008.134 > 2.664.566.662.080 > 57.352.731.750 > 427.487.522.000 > - > 500.000.000.000,Năm trước > 450.623.631.059 > 11.241.529.510 > 1.324.800.000.000 > 1.781.475.000.000 > 31.400.465.754 > 245.000.000.000 > 500.000.000.000 > -,numeric__Mối quanhệ > Công tymệ,numeric__Nội dung nghiệp vụ > Mua hàng hóa và dịch vụ > Lãi ký quỹ mua vật tư được nhận > Đi vay > Trả tiền vay > Lãi đi vay > Lợi nhuận đã trả về công ty mẹ > Ký quỹ mua nguyên vật liệu > Thu lại tiền ký quỹ,numeric__Năm nay > 2.050.966.635 > 37.534.246.573 > 2.947.671.008.134 > 2.664.566.662.080 > 57.352.731.750 > 427.487.522.000 > - > 500.000.000.000,numeric__Năm trước > 450.623.631.059 > 11.241.529.510 > 1.324.800.000.000 > 1.781.475.000.000 > 31.400.465.754 > 245.000.000.000 > 500.000.000.000 > -
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Doanh thu bán hàng hóa,127.887.553.317,366.872.288.125,,,127887553317.0,366872288125.0
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Cổ tức nhận được,39.464.599.000,140.157.901.000,,,39464599000.0,140157901000.0
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Lãi ký quỹ phải trả,8.590.603,14.652.862.941,,,8590603.0,14652862941.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,Mua hàng hóa và dịch vụ,897.555.083.772,504.653.454.830,,,897555083772.0,504653454830.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,"Doanh thu bán hàng hóa, thành phẩm, cung cấp dịch vụ",39.175.899.451,267.181.423.217,,,39175899451.0,267181423217.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,"Doanh thu thanh lý tài sản cố định, công cụ dụng cụ",-,1.121.504.173,,,,1121504173.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,Cổ tức nhận được,33.745.500.000,-,,,33745500000.0,
Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty con,Doanh thu bán hàng hóa,-,670.031.766.182,,,,670031766182.0
Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty con,Cổ tức nhận được,192.810.222.500,324.259.470.000,,,192810222500.0,324259470000.0
Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty con,Mua hàng hóa và dịch vụ,19.221.789.800,23.649.953.920,,,19221789800.0,23649953920.0
Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,Doanh thu bán hàng hóa,892.104.909.343,807.021.654.892,,,892104909343.0,807021654892.0
Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,Nhận ký quỹ mua nguyên vật liệu,-,300.000.000.000,,,,300000000000.0
Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,Lãi ký quỹ phải trả,18.049.315.067,13.364.383.561,,,18049315067.0,13364383561.0
Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,Tổng Công ty Viglacera - CTCP,Bên liên quan khác,Cổ tức nhận được,95.810.000.000,57.100.000.000,,,95810000000.0,57100000000.0
Công ty Dây đồng Việt Nam,Công ty Dây đồng Việt Nam,Công ty Dây đồng Việt Nam,Công ty con,Doanh thu bán hàng hóa,773.907.460.727,-,,,773907460727.0,
CFT,CFT,CFT,Công ty con,Lãi bán hàng trả chậm,9.094.252.446,-,,,9094252446.0,
Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Công ty con,Doanh thu bán hàng hóa,25.553.218.353,6.358.414.002,,,25553218353.0,6358414002.0
