row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu khách hàng (Thuyết minh số 6),Đơn vị tính: VND Số đầu năm > Phải thu khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6),numeric__Đơn vị tính: VND Số đầu năm > Phải thu khách hàng (Thuyết minh số 6)
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,Phải thu bán hàng hóa,30.611.243.419,71.806.598.124,,,30611243419.0,71806598124.0
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Phải thu bán hàng hóa,24.011.223.070,63.929.494.542,,,24011223070.0,63929494542.0
Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,Phải thu bán hàng hóa,62.451.537.432,-,,,62451537432.0,
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty con,Phải thu bán hàng hóa,748.897.512.932,-,,,748897512932.0,
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,Phải thu bán hàng hóa,7.522.516.742,-,,,7522516742.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,873.494.033.595,135.736.092.666,,,873494033595.0,135736092666.0
Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),Phải thu khác (Thuyết minh số 7),,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Phải thu khác (Thuyết minh số 7) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,Phải thu về gốc và lãi ký quỹ,-,511.241.529.510,,,,511241529510.0
TỔNG CỘNG,Phải thu khác (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,511.241.529.510,,,,511241529510.0
