row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Eurocapital > Công ty TNHH chứng khoán Mirae Asset (Việt Nam) > Công ty Cổ phần chứng khoán VIX,Số cuối năm VND > 400.000.000.000 > 381.000.000.000 > 650.000.000.000,Ngày đáo hạn > Trong tháng 8 năm 2022 > Đảo hạn lần cuối trong tháng 9 năm 2021 > Trong tháng 9 năm 2023,"Lãi suất > lãi suất 9,8%/năm và được điều chỉnh 3 tháng/lần, trả lãi 3 tháng/lần > lãi suất 9,5%/năm, trả lãi 6 tháng/lần > lãi suất 9,0%/năm, trả lãi 6 tháng/lần","Tài sản đảm bảo > 29.684.916 cổ phiếu HEM (Công ty HEM), 2.500.000 cổ phiếu CAV (Công ty Cadivi) và 14.000.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 27.400.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 49.789.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty và Tổng Công ty Thiết bị điện Việt Nam, công ty mẹ của Công ty.",numeric__Số cuối năm VND > 400.000.000.000 > 381.000.000.000 > 650.000.000.000,numeric__Ngày đáo hạn > Trong tháng 8 năm 2022 > Đảo hạn lần cuối trong tháng 9 năm 2021 > Trong tháng 9 năm 2023,"numeric__Lãi suất > lãi suất 9,8%/năm và được điều chỉnh 3 tháng/lần, trả lãi 3 tháng/lần > lãi suất 9,5%/năm, trả lãi 6 tháng/lần > lãi suất 9,0%/năm, trả lãi 6 tháng/lần","numeric__Tài sản đảm bảo > 29.684.916 cổ phiếu HEM (Công ty HEM), 2.500.000 cổ phiếu CAV (Công ty Cadivi) và 14.000.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 27.400.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 49.789.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty và Tổng Công ty Thiết bị điện Việt Nam, công ty mẹ của Công ty."
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(21.931.585.303),,,,-21931585303.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.409.068.414.697,,,,1409068414697.0,,,
Trong đó:Trái phiếu dài hạn đến hạn trả,Trong đó:Trái phiếu dài hạn đến hạn trả,Trong đó:Trái phiếu dài hạn đến hạn trả,439.238.366.933,,,,439238366933.0,,,
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,969.830.047.764,,,,969830047764.0,,,
