row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Đơn vị tính: VND Số đầu năm > Giá gốc,Đơn vị tính: VND Số đầu năm > Giá trị hợp lý,Đơn vị tính: VND Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND Số đầu năm > Giá trị hợp lý,numeric__Đơn vị tính: VND Số đầu năm > Dự phòng
Cổ phiếu Công tyCổ phần DAP -VINACHEM,Cổ phiếu Công tyCổ phần DAP -VINACHEM,Cổ phiếu Công tyCổ phần DAP -VINACHEM,119.142.075.890,159.211.360.000,-,26.994.070.460,26.599.500.000,-,119142075890.0,159211360000.0,,26994070460.0,26599500000.0,
Cổ phiếu Công tyCổ phần GTN,Cổ phiếu Công tyCổ phần GTN,Cổ phiếu Công tyCổ phần GTN,9.013.174.170,9.275.994.000,-,-,-,-,9013174170.0,9275994000.0,,,,
Cổ phiếu Công tyCổ phần S99,Cổ phiếu Công tyCổ phần S99,Cổ phiếu Công tyCổ phần S99,-,-,-,15.222.800.000,17.000.000.000,-,,,,15222800000.0,17000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,128.155.250.060,168.487.354.000,-,42.216.870.460,43.599.500.000,-,128155250060.0,168487354000.0,,42216870460.0,43599500000.0,
