row_label_raw,row_label_full,col_0,Máy móc và thiết bị và thiết bị,Phương tiện vận chuyển vận tải,Thiết bị văn phòng văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị và thiết bị,numeric__Phương tiện vận chuyển vận tải,numeric__Thiết bị văn phòng văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,35.922.250,3.141.600.000,33.800.000,3.211.322.250,35922250.0,3141600000.0,33800000.0,3211322250.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,35.922.250,3.141.600.000,33.800.000,3.211.322.250,35922250.0,3141600000.0,33800000.0,3211322250.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,35.922.250,1.047.200.000,33.800.000,1.116.922.250,35922250.0,1047200000.0,33800000.0,1116922250.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,-,314.160.000,-,314.160.000,,314160000.0,,314160000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,35.922.250,1.361.360.000,33.800.000,1.431.082.250,35922250.0,1361360000.0,33800000.0,1431082250.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,2.094.400.000,-,2.094.400.000,,2094400000.0,,2094400000.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,1.780.240.000,-,1.780.240.000,,1780240000.0,,1780240000.0
