row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,2.822.228.342.604,2.808.923.803.435,2822228342604.0,2808923803435.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,2.817.025.047.232,2.729.795.988.859,2817025047232.0,2729795988859.0
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,-,65.456.610.848,,65456610848.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,5.203.295.372,13.671.203.728,5203295372.0,13671203728.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(12.303.552.280),-,-12303552280.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,2.809.924.790.324,2.808.923.803.435,2809924790324.0,2808923803435.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,951.200.536.633,691.245.136.471,951200536633.0,691245136471.0
Doanh thu đối với các bên liên quan(Thuyết minh số 23),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 23),Doanh thu đối với các bên liên quan(Thuyết minh số 23),1.858.724.253.691,2.117.678.666.964,1858724253691.0,2117678666964.0
