row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 11) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 11) > Công ty mẹ,"Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 11) > Phải trả về mua hàng hóa, dịch vụ",Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 11) > 564.062.020,Đơn vị tính: VND > Phải trả người bán ngắn hạn (Thuyết minh số 11) > 167.599.020,numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 11) > Công ty mẹ,"numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 11) > Phải trả về mua hàng hóa, dịch vụ",numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 11) > 564.062.020,numeric__Đơn vị tính: VND > Phải trả người bán ngắn hạn (Thuyết minh số 11) > 167.599.020
Công ty cổ phần Thiết bị Đo điện EMIC,Công ty cổ phần Thiết bị Đo điện EMIC,Công ty cổ phần Thiết bị Đo điện EMIC,Công ty con,"Phải trả về mua hàng hóa, dịch vụ",448.151.041.182,134.527.661.829,,,448151041182.0,134527661829.0
Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty Cổ phần Dây Cáp Điện Việt Nam,Công ty con,Phải trả mua hàng hóa,19.221.789.800,24.092.770.332,,,19221789800.0,24092770332.0
Công ty TNHH MTV Sotrans Logistic,Công ty TNHH MTV Sotrans Logistic,Công ty TNHH MTV Sotrans Logistic,Công ty trong cùng tập đoàn (tới ngày 30 tháng 6 năm 2020),Phải trả về mua dịch vụ,-,680.990.000,,,,680990000.0
Công ty Cổ phần Chứng khoán VIX [trước đây là Công ty cổ phần Chứng khoán IB],Công ty Cổ phần Chứng khoán VIX [trước đây là Công ty cổ phần Chứng khoán IB],Công ty Cổ phần Chứng khoán VIX [trước đây là Công ty cổ phần Chứng khoán IB],Bên liên quan khác,Phải trả về phí lưu ký chứng khoán,21.590.391,18.373.820,,,21590391.0,18373820.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,467.958.483.393,159.487.395.001,,,467958483393.0,159487395001.0
Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),Phải trả khác (Thuyết minh số 14),,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Phải trả khác (Thuyết minh số 14) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,Phải trả về lãi vay,26.850.321.654,27.945.205,,,26850321654.0,27945205.0
Công ty TNHH MTV Cadivi Đồng Nai,Phải trả khác (Thuyết minh số 14) > Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,Phải trả về gốc nhận ký quỹ,300.000.000.000,300.000.000.000,,,300000000000.0,300000000000.0
Công ty Cổ phần Thiết bị Điện,Phải trả khác (Thuyết minh số 14) > Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Phải trả về gốc và lãi nhận ký quỹ,-,10.007.322.866,,,,10007322866.0
TỔNG CỘNG,Phải trả khác (Thuyết minh số 14) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,326.850.321.654,310.035.268.071,,,326850321654.0,310035268071.0
Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),Vay (Thuyết minh số 15),,,,
Tổng Công ty Cổ phần Công ty mẹ Thiết bị Điện Việt Nam,Vay (Thuyết minh số 15) > Tổng Công ty Cổ phần Công ty mẹ Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Công ty mẹ Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Công ty mẹ Thiết bị Điện Việt Nam,Vay ngắn hạn,488.104.346.054,205.000.000.000,,,488104346054.0,205000000000.0
TỔNG CỘNG,Vay (Thuyết minh số 15) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,488.104.346.054,205.000.000.000,,,488104346054.0,205000000000.0
