row_label_raw,row_label_full,Tài sản tài chính được ghi nhận theo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh,Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Giá gốc > 4.688.155.094.366,Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Dư phòng > (31.327.218.732),Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Giá gốc > 2.020.376.804.048,Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Dư phòng > (48.090.899.036),Giá trị hợp lý > Ngày 31 tháng 12 năm 2015 > 4.722.432.650.806,Giá trị hợp lý > Ngày 31 tháng 12 năm 2014 > 1.979.958.896.168,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Giá gốc > 4.688.155.094.366,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Dư phòng > (31.327.218.732),numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Giá gốc > 2.020.376.804.048,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Dư phòng > (48.090.899.036),numeric__Giá trị hợp lý > Ngày 31 tháng 12 năm 2015 > 4.722.432.650.806,numeric__Giá trị hợp lý > Ngày 31 tháng 12 năm 2014 > 1.979.958.896.168
Chứng khoán thương mại,Chứng khoán thương mại,Chứng khoán thương mại,297.055.094.366,(31.327.218.732),124.376.804.048,(48.090.899.036),331.332.650.806,83.958.896.168,297055094366.0,-31327218732.0,124376804048.0,-48090899036.0,331332650806.0,83958896168.0
- Cổ phiếu niêm yết,- Cổ phiếu niêm yết,- Cổ phiếu niêm yết,274.474.884.147,(12.188.662.299),66.326.384.750,(1.314.628.366),327.873.318.900,72.677.511.100,274474884147.0,-12188662299.0,66326384750.0,-1314628366.0,327873318900.0,72677511100.0
- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,22.580.110.219,(19.138.556.433),58.050.319.298,(46.776.270.670),3.459.231.906,11.281.285.068,22580110219.0,-19138556433.0,58050319298.0,-46776270670.0,3459231906.0,11281285068.0
- Trái phiếu chưa niêm yết,- Trái phiếu chưa niêm yết,- Trái phiếu chưa niêm yết,100.000,-,100.000,-,100.000,100.000,100000.0,,100000.0,,100000.0,100000.0
Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,4.391.100.000.000,-,1.896.000.000.000,-,4.391.100.000.000,1.896.000.000.000,4391100000000.0,,1896000000000.0,,4391100000000.0,1896000000000.0
- Tiền gửi ngắn hạn,- Tiền gửi ngắn hạn,- Tiền gửi ngắn hạn,4.391.100.000.000,-,1.896.000.000.000,-,4.391.100.000.000,1.896.000.000.000,4391100000000.0,,1896000000000.0,,4391100000000.0,1896000000000.0
Phải thu khách hàng và các khoản phải thu khác (*),Phải thu khách hàng và các khoản phải thu khác (*),Phải thu khách hàng và các khoản phải thu khác (*),5.295.823.903.294,(132.204.050.471),3.571.721.927.398,(211.025.538.795),5.163.619.852.823,3.360.696.388.603,5295823903294.0,-132204050471.0,3571721927398.0,-211025538795.0,5163619852823.0,3360696388603.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,779.269.325.913,(29.213.964.481),648.013.806.679,(37.186.146.910),1.471.757.948.904,993.929.785.062,779269325913.0,-29213964481.0,648013806679.0,-37186146910.0,1471757948904.0,993929785062.0
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,779.269.325.913,(29.213.964.481),648.013.806.679,(37.186.146.910),1.471.757.948.904,993.929.785.062,779269325913.0,-29213964481.0,648013806679.0,-37186146910.0,1471757948904.0,993929785062.0
- Cổ phiếu niêm yết,- Cổ phiếu niêm yết,- Cổ phiếu niêm yết,521.602.573.339,-,375.067.350.845,(2.809.270.106),1.216.005.256.300,747.422.174.695,521602573339.0,,375067350845.0,-2809270106.0,1216005256300.0,747422174695.0
- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,63.884.499.169,(29.213.964.481),75.884.487.171,(34.376.876.804),35.752.692.604,41.507.610.367,63884499169.0,-29213964481.0,75884487171.0,-34376876804.0,35752692604.0,41507610367.0
- Trái phiếu (*),- Trái phiếu (*),- Trái phiếu (*),193.782.253.405,-,197.061.968.663,-,220.000.000.000,205.000.000.000,193782253405.0,,197061968663.0,,220000000000.0,205000000000.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,65.000.000.000,-,538.617.000.000,(297.743.000.000),84.761.408.826,250.720.668.411,65000000000.0,,538617000000.0,-297743000000.0,84761408826.0,250720668411.0
- Đầu tư chứng khoán dài hạn khác (*),- Đầu tư chứng khoán dài hạn khác (*),- Đầu tư chứng khoán dài hạn khác (*),15.000.000.000,-,538.617.000.000,(297.743.000.000),34.761.408.826,250.720.668.411,15000000000.0,,538617000000.0,-297743000000.0,34761408826.0,250720668411.0
- Tiền gửi kỳ hạn hơn 1 năm,- Tiền gửi kỳ hạn hơn 1 năm,- Tiền gửi kỳ hạn hơn 1 năm,50.000.000.000,-,-,-,50.000.000.000,-,50000000000.0,,,,50000000000.0,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.595.760.199.184,-,1.751.670.156.184,-,1.595.760.199.184,1.751.670.156.184,1595760199184.0,,1751670156184.0,,1595760199184.0,1751670156184.0
Tổng công,Tổng công,Tổng công,12.424.008.522.757,(192.745.233.684),8.530.399.694.309,(594.045.584.741),13.038.332.060.543,8.336.975.894.429,12424008522757.0,-192745233684.0,8530399694309.0,-594045584741.0,13038332060543.0,8336975894429.0
