row_label_raw,row_label_full,Bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phí) VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phí) VND
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,Doanh thu/ (chi phí) VND,,,,,,
Công ty Cổ phần,Bên liên quan > Công ty Cổ phần,Công ty Cổ phần,Phi giao dịch chứng khoán và ứng trước tiền bán,-,2.765.698.040,(2.765.698.040),-,2.765.698.040,,,2765698040.0,-2765698040.0,,2765698040.0
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Phải thu ký quỹ,-,164.993.424.297,(120.369.726.771),44.623.697.526,-,,,164993424297.0,-120369726771.0,44623697526.0,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Phi ký quỹ,-,283.288.396,(283.288.396),-,283.288.396,,,283288396.0,-283288396.0,,283288396.0
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Phi hợp đồng tư vấn,65.000.000,2.261.000.000,(2.326.000.000),-,2.210.000.000,,65000000.0,2261000000.0,-2326000000.0,,2210000000.0
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Ứng trước hợp đồng tư vấn,-,(100.000.000),-,(100.000.000),,,,-100000000.0,,-100000000.0,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Ứng mua chứng khoán,(50.100.000.000),(35.589.210.483),85.688.513.158,(697.325),-,,-50100000000.0,-35589210483.0,85688513158.0,-697325.0,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Bản chứng khoán,-,538.508.272.000,(538.508.272.000),-,,,,538508272000.0,-538508272000.0,,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Chi phí thuê kho và dịch vụ,-,(1.425.396.856),1.379.001.486,(46.395.370),(1.425.396.856),,,-1425396856.0,1379001486.0,-46395370.0,-1425396856.0
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Đặt cọc thuê kho,78.262.800,-,-,78.262.800,,,78262800.0,,,78262800.0,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Nhận cọc môi giới chứng khoán,(85.126.479.812),(4.124.112.760.216),4.209.239.240.028,-,-,,-85126479812.0,-4124112760216.0,4209239240028.0,,
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Lãi nhận cọc phải trả,(191.591.866),(21.099.879.520),21.291.471.386,-,(21.099.879.520),,-191591866.0,-21099879520.0,21291471386.0,,-21099879520.0
Tập đoàn PAN và công ty con,Bên liên quan > Tập đoàn PAN và công ty con,Tập đoàn PAN và công ty con,Chi phí mua hàng hóa,-,(1.228.920.000),1.228.920.000,-,(1.228.920.000),,,-1228920000.0,1228920000.0,,-1228920000.0
Công ty TNHH,Bên liên quan > Công ty TNHH,Công ty TNHH,Góp vốn đầu tư,30.000.000.000,-,-,30.000.000.000,-,,30000000000.0,,,30000000000.0,
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Lợi nhuận được chia,-,38.009.379.931,(38.009.379.931),-,38.009.379.931,,,38009379931.0,-38009379931.0,,38009379931.0
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Phi giao dịch chứng khoán,-,4.762.910.902,(4.762.910.902),-,4.762.910.902,,,4762910902.0,-4762910902.0,,4762910902.0
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,1.438.315.087.716,1.757.481.449.374,(1.579.451.873.918),1.616.344.663.172,266.365.548.823,,1438315087716.0,1757481449374.0,-1579451873918.0,1616344663172.0,266365548823.0
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Phi đại lý phát hành,-,122.145.072,(122.145.072),-,111.040.975,,,122145072.0,-122145072.0,,111040975.0
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Phi tư vấn đầu tư chứng khoán,(1.995.157.973),(27.557.280.906),26.855.857.004,(2.696.581.875),(27.557.280.906),,-1995157973.0,-27557280906.0,26855857004.0,-2696581875.0,-27557280906.0
Quản lý Quỹ SSI (SSIAM),Bên liên quan > Quản lý Quỹ SSI (SSIAM),Quản lý Quỹ SSI (SSIAM),Phi quản lý danh mục,(10.455.347.727),(34.791.981.952),39.819.643.664,(5.427.686.015),(34.791.981.952),,-10455347727.0,-34791981952.0,39819643664.0,-5427686015.0,-34791981952.0
Công ty TNHH MTV,Bên liên quan > Công ty TNHH MTV,Công ty TNHH MTV,Phải thu giao dịch ký quỹ,818.336.672,12.786.466.668,(13.604.803.340),-,-,,818336672.0,12786466668.0,-13604803340.0,,
Nguyễn Sài Gòn,Bên liên quan > Nguyễn Sài Gòn,Nguyễn Sài Gòn,Phi ký quỹ,-,15.823.205,(15.823.205),-,15.823.205,,,15823205.0,-15823205.0,,15823205.0
Nguyễn Sài Gòn,Bên liên quan > Nguyễn Sài Gòn,Nguyễn Sài Gòn,"Phi giao dịch, phí lưu ký và phí ứng trước tiền bán chứng khoán",-,574.842.703,(574.842.703),-,574.842.703,,,574842703.0,-574842703.0,,574842703.0
Nguyễn Sài Gòn,Bên liên quan > Nguyễn Sài Gòn,Nguyễn Sài Gòn,Phi dịch vụ,-,2.190.894.444,(2.190.894.444),-,1.991.722.221,,,2190894444.0,-2190894444.0,,1991722221.0
Đối tượng khác,Bên liên quan > Đối tượng khác,Đối tượng khác,Phật hành trái phiếu,-,(50.000.000.000),50.000.000.000,-,-,,,-50000000000.0,50000000000.0,,
Đối tượng khác,Bên liên quan > Đối tượng khác,Đối tượng khác,Lãi trái phiếu phải trả,-,(2.072.800.000),2.072.800.000,-,(2.072.800.000),,,-2072800000.0,2072800000.0,,-2072800000.0
Đối tượng khác,Bên liên quan > Đối tượng khác,Đối tượng khác,Phi dịch vụ,-,15.663.898.889,(15.663.898.889),-,14.239.908.081,,,15663898889.0,-15663898889.0,,14239908081.0
