row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Số cuối năm VND,numeric__Chỉ tiêu,numeric__Số đầu năm VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Số cuối năm VND
I,I,I,Thuế,38.507.993.397,294.176.380.603,(247.889.841.981),84.794.532.019,,38507993397.0,294176380603.0,-247889841981.0,84794532019.0
1,1,1,Thuế giá trị gia tăng hàng bán nội địa,766.442.893,6.932.194.842,(6.795.115.329),903.522.406,,766442893.0,6932194842.0,-6795115329.0,903522406.0
2,2,2,Thuế thu nhập doanh nghiệp (Thuyết minh 31),13.866.922.128,189.922.126.595,(134.634.603.577),69.154.445.146,,13866922128.0,189922126595.0,-134634603577.0,69154445146.0
3,3,3,Các loại thuế khác,23.874.628.376,97.322.059.166,(106.460.123.075),14.736.564.467,,23874628376.0,97322059166.0,-106460123075.0,14736564467.0
,,,- Thuế thu nhập cá nhân,4.239.382.498,21.992.368.443,(22.472.358.821),3.759.392.120,,4239382498.0,21992368443.0,-22472358821.0,3759392120.0
,,,- Thuế thu nhập cá nhân nộp hộ nhà đầu tư,15.215.147.616,53.663.746.688,(59.746.704.142),9.132.190.162,,15215147616.0,53663746688.0,-59746704142.0,9132190162.0
,,,- Thuế môn bài,-,11.000.000,(11.000.000),-,,,11000000.0,-11000000.0,
,,,- Thuế khác,4.420.098.262,21.654.944.035,(24.230.060.112),1.844.982.185,,4420098262.0,21654944035.0,-24230060112.0,1844982185.0
II,II,II,Các khoản phải nộp Ngân sách Nhà nước khác,-,161.923.192,(161.923.192),-,,,161923192.0,-161923192.0,
,,,,38.507.993.397,294.338.303.795,(248.051.765.173),84.794.532.019,,38507993397.0,294338303795.0,-248051765173.0,84794532019.0
