row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận chuyểnVND,"Thiết bị, dung cuquản lýVND",Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị, dung cuquản lýVND",numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.609.391.520,68.196.998.519,14.504.261.403,161.260.000,85.471.911.442,2609391520.0,68196998519.0,14504261403.0,161260000.0,85471911442.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.609.954.494,-,-,2.609.954.494,,2609954494.0,,,2609954494.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,2.609.954.494,-,-,2.609.954.494,,2609954494.0,,,2609954494.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
- Bán thanh lý,Nguyên giá > - Bán thanh lý,- Bán thanh lý,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.609.391.520,68.941.847.513,14.504.261.403,161.260.000,86.216.760.436,2609391520.0,68941847513.0,14504261403.0,161260000.0,86216760436.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,2.609.391.520,55.157.869.212,8.263.775.521,60.756.666,66.091.792.919,2609391520.0,55157869212.0,8263775521.0,60756666.0,66091792919.0
Tăng trong năm,Khấu hao lũy kế > Tăng trong năm,Tăng trong năm,-,5.799.632.635,1.379.431.955,44.718.666,7.223.783.256,,5799632635.0,1379431955.0,44718666.0,7223783256.0
- Khấu hao,Khấu hao lũy kế > - Khấu hao,- Khấu hao,-,5.799.632.635,1.379.431.955,44.718.666,7.223.783.256,,5799632635.0,1379431955.0,44718666.0,7223783256.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
- Bán thanh lý,Khấu hao lũy kế > - Bán thanh lý,- Bán thanh lý,-,(1.865.105.500),-,-,(1.865.105.500),,-1865105500.0,,,-1865105500.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,2.609.391.520,59.092.396.347,9.643.207.476,105.475.332,71.450.470.675,2609391520.0,59092396347.0,9643207476.0,105475332.0,71450470675.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,13.039.129.307,6.240.485.882,100.503.334,19.380.118.523,,13039129307.0,6240485882.0,100503334.0,19380118523.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,9.849.451.166,4.861.053.927,55.784.668,14.766.289.761,,9849451166.0,4861053927.0,55784668.0,14766289761.0
