row_label_raw,row_label_full,col_0,Phần mềmVND,Quyền sử dụngđất vô thời hạnVND,Tài sản cố địnhvô hình khácVND,Tổng cộngVND,numeric__Phần mềmVND,numeric__Quyền sử dụngđất vô thời hạnVND,numeric__Tài sản cố địnhvô hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,49.259.862.204,109.671.558.000,6.307.933.437,165.239.353.641,49259862204.0,109671558000.0,6307933437.0,165239353641.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.328.243.320,-,341.282.405,1.669.525.725,1328243320.0,,341282405.0,1669525725.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,1.328.243.320,-,341.282.405,1.669.525.725,1328243320.0,,341282405.0,1669525725.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,50.588.105.524,109.671.558.000,6.649.215.842,166.908.879.366,50588105524.0,109671558000.0,6649215842.0,166908879366.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,43.166.340.019,-,2.069.717.859,45.236.057.878,43166340019.0,,2069717859.0,45236057878.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,3.787.118.677,-,1.043.211.488,4.830.330.165,3787118677.0,,1043211488.0,4830330165.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,3.787.118.677,-,1.043.211.488,4.830.330.165,3787118677.0,,1043211488.0,4830330165.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,46.953.458.696,-,3.112.929.347,50.066.388.043,46953458696.0,,3112929347.0,50066388043.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.093.522.185,109.671.558.000,4.238.215.578,120.003.295.763,6093522185.0,109671558000.0,4238215578.0,120003295763.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.634.646.828,109.671.558.000,3.536.286.495,116.842.491.323,3634646828.0,109671558000.0,3536286495.0,116842491323.0
