row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2015,Không kỳ hạn VND > Ngày 31 tháng 12 năm 2015,Đến 3 tháng VND > Ngày 31 tháng 12 năm 2015,Từ 3 - 12 tháng VND > Ngày 31 tháng 12 năm 2015,Từ 1 - 5 năm VND > Ngày 31 tháng 12 năm 2015,Tổng cộng VND > Ngày 31 tháng 12 năm 2015,numeric__Không kỳ hạn VND > Ngày 31 tháng 12 năm 2015,numeric__Đến 3 tháng VND > Ngày 31 tháng 12 năm 2015,numeric__Từ 3 - 12 tháng VND > Ngày 31 tháng 12 năm 2015,numeric__Từ 1 - 5 năm VND > Ngày 31 tháng 12 năm 2015,numeric__Tổng cộng VND > Ngày 31 tháng 12 năm 2015
Vay và nợ phải trả,Vay và nợ phải trả,Vay và nợ phải trả,1.706.347.967.537,2.207.500.000.000,-,687.500.000.000,4.601.347.967.537,1706347967537.0,2207500000000.0,,687500000000.0,4601347967537.0
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,1.241.656.219.531,207.471.284.000,-,-,1.449.127.503.531,1241656219531.0,207471284000.0,,,1449127503531.0
Phải trả tổ chức phát hành,Phải trả tổ chức phát hành,Phải trả tổ chức phát hành,606.457.160,82.981.800,-,-,689.438.960,606457160.0,82981800.0,,,689438960.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,5.427.686.015,52.398.895.182,13.401.527.779,-,71.228.108.976,5427686015.0,52398895182.0,13401527779.0,,71228108976.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",6.214.223.304,189.859.128.370,-,-,196.073.351.674,6214223304.0,189859128370.0,,,196073351674.0
,,,2.960.252.553.547,2.657.312.289.352,13.401.527.779,687.500.000.000,6.318.466.370.678,2960252553547.0,2657312289352.0,13401527779.0,687500000000.0,6318466370678.0
Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,Ngày 31 tháng 12 năm 2014,,,,,
Vay và nợ phải trả,Ngày 31 tháng 12 năm 2014 > Vay và nợ phải trả,Vay và nợ phải trả,1.276.127.466.877,230.000.000.000,-,-,1.506.127.466.877,1276127466877.0,230000000000.0,,,1506127466877.0
Phải trả hoạt động giao dịch chứng khoán,Ngày 31 tháng 12 năm 2014 > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,944.143.998.877,152.264.610.800,-,-,1.096.408.609.677,944143998877.0,152264610800.0,,,1096408609677.0
Phải trả tổ chức phát hành,Ngày 31 tháng 12 năm 2014 > Phải trả tổ chức phát hành,Phải trả tổ chức phát hành,606.457.160,1.277.582.000,-,-,1.884.039.160,606457160.0,1277582000.0,,,1884039160.0
Chi phí phải trả,Ngày 31 tháng 12 năm 2014 > Chi phí phải trả,Chi phí phải trả,10.463.103.353,12.202.296.347,-,-,22.665.399.700,10463103353.0,12202296347.0,,,22665399700.0
"Các khoản phải trả, phải nộp khác","Ngày 31 tháng 12 năm 2014 > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",5.717.334.558,258.448.189.364,-,-,264.165.523.922,5717334558.0,258448189364.0,,,264165523922.0
,,,2.237.058.360.825,654.192.678.511,-,-,2.891.251.039.336,2237058360825.0,654192678511.0,,,2891251039336.0
