row_label_raw,row_label_full,Bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phí)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phí)VND
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Số đầu nămVND,Tăng trong nămVND,Giảm trong nămVND,Số cuối nămVND,Doanh thu/(chi phí)VND,,,,,,
Quỹ Đầu tư thành viên SSI,Bên liên quan > Quỹ Đầu tư thành viên SSI,Quỹ Đầu tư thành viên SSI,Gộp vốn đầu tư,312.000.000.000,-,-,312.000.000.000,-,,312000000000.0,,,312000000000.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Bên liên quan > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Gộp vốn đầu tư,15.000.000.000,-,-,15.000.000.000,-,,15000000000.0,,,15000000000.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Phí ứng trước tiền bán chứng khoán và phí giao dịch chứng khoán,-,2.226.378.492(14.704.748.850),(2.226.378.492)14.704.748.850,-,2.226.378.492(9.188.613.902),,,,,,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Tiền thuê mặt bằng,-,2.226.378.492(14.704.748.850),(2.226.378.492)14.704.748.850,-,2.226.378.492(9.188.613.902),,,,,,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Đặt cọc tiền thuê văn phòng,10.800.702.000,-,-,10.800.702.000,-,,10800702000.0,,,10800702000.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Lãi đặt cọc tiền thuê văn phòng,-,1.095.071.178,(1.095.071.178),-,1.095.071.178,,,1095071178.0,-1095071178.0,,1095071178.0
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Phải thu ký quỹ,275.064.403,731.791.647.648,(628.361.643.209),103.705.068.842,-,,275064403.0,731791647648.0,-628361643209.0,103705068842.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Phí ký quỹ,-,5.428.852.635,(5.428.852.635),-,5.428.852.635,,,5428852635.0,-5428852635.0,,5428852635.0
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Ứng trước hợp đồng môi giới trái phiếu,-,885.877.932.143,(743.431.720.643),142.446.211.500,-,,,885877932143.0,-743431720643.0,142446211500.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Phí tư vấn đầu tư chứng khoán,-,2.000.000.000,(2.000.000.000),-,2.000.000.000,,,2000000000.0,-2000000000.0,,2000000000.0
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Cổ tức,-,5.999.996.000,(5.999.996.000),-,5.999.996.000,,,5999996000.0,-5999996000.0,,5999996000.0
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Phát hành trải phiếu,-,(150.000.000.000),-,(150.000.000.000),-,,,-150000000000.0,,-150000000000.0,
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Lãi trải phiếu phải trả,-,(11.821.666.667),-,(11.821.666.667),(11.821.666.667),,,-11821666667.0,,-11821666667.0,-11821666667.0
Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty Cổ phầnĐầu tư Đường Mặt Trời,Công ty Cổ phầnĐầu tư Đường Mặt Trời,Giao dịch mua bán chứng khoán,-,530.636.615.125,(530.636.615.125),-,-,,,530636615125.0,-530636615125.0,,
Công ty TNHH Đầu tư NDH,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Phí giao dịch chứng khoán và ứng trước tiền bán chứng khoán,-,1.372.198.713,(1.372.198.713),-,1.372.198.713,,,1372198713.0,-1372198713.0,,1372198713.0
Công ty TNHH Đầu tư NDH,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Phí dịch vụ,-,3.154.079.753,(3.154.079.753),-,2.867.345.230,,,3154079753.0,-3154079753.0,,2867345230.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,"Phí ứng trước tiền bán chứng khoán, phí lưu ký và phí giao dịch",-,351.895.008,(351.895.008),-,351.895.008,,,351895008.0,-351895008.0,,351895008.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phải thu ki quỹ,-,49.662.603.382,(49.662.603.382),-,-,,,49662603382.0,-49662603382.0,,
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phí ki quỹ,-,638.852.601,(638.852.601),-,638.852.601,,,638852601.0,-638852601.0,,638852601.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường Mặt Trời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phí dịch vụ,-,6.590.101.388,(6.590.101.388),-,5.991.001.262,,,6590101388.0,-6590101388.0,,5991001262.0
