row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ dự trữ pháp định và dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự trữ pháp định và dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,3.537.949.420.000,342.196.810.218,(54.900),372.998.887.930,1.189.451.378.912,5.442.596.442.160,3537949420000.0,342196810218.0,-54900.0,372998887930.0,1189451378912.0,5442596442160.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (i),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (i),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (i),23.168.000.000,29.423.360.000,-,-,-,52.591.360.000,23168000000.0,29423360000.0,,,,52591360000.0
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (ii),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (ii),712.210.570.000,(342.270.310.218),-,-,(370.013.759.782),(73.500.000),712210570000.0,-342270310218.0,,,-370013759782.0,-73500000.0
Phát hành cổ phiếu trả cổ tức năm 2014 (10%) (iii),Phát hành cổ phiếu trả cổ tức năm 2014 (10%) (iii),Phát hành cổ phiếu trả cổ tức năm 2014 (10%) (iii),427.308.850.000,(10.000.000),-,-,(427.308.850.000),(10.000.000),427308850000.0,-10000000.0,,,-427308850000.0,-10000000.0
Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động năm 2015 (iv),Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động năm 2015 (iv),Phát hành cổ phiếu tăng vốn theo chương trình lựa chọn người lao động năm 2015 (iv),100.000.000.000,(54.000.000),-,-,-,99.946.000.000,100000000000.0,-54000000.0,,,,99946000000.0
Trích quỹ dự trữ pháp định và dự phòng tài chính,Trích quỹ dự trữ pháp định và dự phòng tài chính,Trích quỹ dự trữ pháp định và dự phòng tài chính,-,-,-,74.424.157.384,(74.424.157.384),-,,,,74424157384.0,-74424157384.0,
"Trích quỹ khen thưởng, phúc lợi, từ thiện","Trích quỹ khen thưởng, phúc lợi, từ thiện","Trích quỹ khen thưởng, phúc lợi, từ thiện",-,-,-,-,(52.096.910.169),(52.096.910.169),,,,,-52096910169.0,-52096910169.0
Mua cổ phiếu quỹ Điều chính thuế thu nhập doanh nghiệp hiện hành,Mua cổ phiếu quỹ Điều chính thuế thu nhập doanh nghiệp hiện hành,Mua cổ phiếu quỹ Điều chính thuế thu nhập doanh nghiệp hiện hành,-,-,(170.427.500),-,-,(170.427.500),,,-170427500.0,,,-170427500.0
Điều chính thuế thu nhập doanh nghiệp hoãn lại,Điều chính thuế thu nhập doanh nghiệp hoãn lại,Điều chính thuế thu nhập doanh nghiệp hoãn lại,-,-,-,-,207.915.770,207.915.770,,,,,207915770.0,207915770.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,966.621.815.837,966.621.815.837,,,,,966621815837.0,966621815837.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,4.800.636.840.000,29.285.860.000,(170.482.400),447.423.045.314,1.232.057.922.291,6.509.233.185.205,4800636840000.0,29285860000.0,-170482400.0,447423045314.0,1232057922291.0,6509233185205.0
