row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 01/01/2014,Số dư đầu năm > Ngày 01/01/2015,Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 > Tăng,Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 > Giảm,Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Tăng,Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Giảm,Số dư cuối năm > Ngày 31/12/2014,Số dư cuối năm > Ngày 31/12/2015,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01/01/2014,numeric__Số dư đầu năm > Ngày 01/01/2015,numeric__Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 > Tăng,numeric__Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 > Giảm,numeric__Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Tăng,numeric__Số tăng/ giảm > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Giảm,numeric__Số dư cuối năm > Ngày 31/12/2014,numeric__Số dư cuối năm > Ngày 31/12/2015
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
1. Vốn đầu tư của chủ sở hữu2. Thắng dư vốn cổ phần3. Cổ phiếu quỹ4. Quỹ dư phòng tài chính và dự trữ pháp định5. Lợi nhuận chưa phân phối,1. Vốn đầu tư của chủ sở hữu2. Thắng dư vốn cổ phần3. Cổ phiếu quỹ4. Quỹ dư phòng tài chính và dự trữ pháp định5. Lợi nhuận chưa phân phối,1. Vốn đầu tư của chủ sở hữu2. Thắng dư vốn cổ phần3. Cổ phiếu quỹ4. Quỹ dư phòng tài chính và dự trữ pháp định5. Lợi nhuận chưa phân phối,26262626262626,3.537.949.420.000344.944.356.378(69.246.317.760)335.813.119.252866.129.290.773,3.537.949.420.000342.196.810.218(54.900)372.998.887.9301.189.451.378.912,-(54.900)37.185.768.678744.473.399.219(421.151.311.080),-(2.747.546.160)89.246.317.760-,1.262.687.420.00029.423.360.000(170.427.500)74.424.157.384966.829.731.607,-(342.334.310.218)-,3.537.949.420.000342.196.810.218(54.900)372.998.887.9301.189.451.378.912,4.800.636.840.00029.285.860.000(170.482.400)447.423.045.3141.232.057.922.291,26262626262626.0,,,,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,26,4.995.589.868.643,5.442.596.442.160,781.659.112.997,(334.652.539.480),2.333.194.241.491,(1.266.557.498.446),5.442.596.442.160,6.509.233.185.205,26.0,4995589868643.0,5442596442160.0,781659112997.0,-334652539480.0,2333194241491.0,-1266557498446.0,5442596442160.0,6509233185205.0
