row_label_raw,row_label_full,col_0,Mức trích lập từ lợi nhuận sau thuế,Mức trích lập tối đa,numeric__Mức trích lập từ lợi nhuận sau thuế,numeric__Mức trích lập tối đa
Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự trữ bổ sung vốn điều lệ,5%,10% vốn điều lệ,0.05,
Quỹ dự trữ bắt buộc,Quỹ dự trữ bắt buộc,Quỹ dự trữ bắt buộc,5%,10% vốn điều lệ,0.05,
