row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Số cuối năm,Số đầu năm,numeric__CHÍ TIÊU,numeric__Số cuối năm,numeric__Số đầu năm
001,001,001,1. Tài sản cố định thuê ngoài,-,-,,,
002,002,002,"2. Vật tư, chứng chỉ có giá nhận giữ hộ",-,-,,,
003,003,003,3. Tài sản nhận ký cược,-,-,,,
004,004,004,4. Nợ khó đòi đã xử lý,-,-,,,
005,005,005,5. Ngoại tệ các loại,-,-,,,
006,005 > 006,006,6. Chứng khoán lưu ký Trong đó,22.246.591.720.000,16.971.498.980.000,,22246591720000.0,16971498980000.0
007,005 > 007,007,6.1. Chứng khoán giao dịch,17.545.682.100.000,13.385.339.520.000,,17545682100000.0,13385339520000.0
008,005 > 008,008,6.1.1. Chứng khoán giao dịch của thành viên lưu ký,143.966.470.000,89.693.530.000,,143966470000.0,89693530000.0
009,005 > 009,009,6.1.2. Chứng khoán giao dịch của khách hàng trong nước,15.678.590.640.000,11.856.981.100.000,,15678590640000.0,11856981100000.0
010,005 > 010,010,6.1.3. Chứng khoán giao dịch của khách hàng nước ngoài,1.723.124.990.000,1.438.664.890.000,,1723124990000.0,1438664890000.0
012,005 > 012,012,6.2. Chứng khoán tạm ngừng giao dịch,736.171.700.000,305.421.250.000,,736171700000.0,305421250000.0
013,013,013,6.2.1. Chứng khoán tạm ngừng giao dịch của thành viên lưu ký,-,-,,,
014,013 > 014,014,6.2.2. Chứng khoán tạm ngừng giao dịch của khách hàng trong nước,594.130.210.000,295.550.450.000,,594130210000.0,295550450000.0
015,013 > 015,015,6.2.3. Chứng khoán tạm ngừng giao dịch của khách hàng nước ngoài,142.041.490.000,9.870.800.000,,142041490000.0,9870800000.0
017,013 > 017,017,6.3. Chứng khoán cảm có,2.912.938.010.000,2.519.004.810.000,,2912938010000.0,2519004810000.0
018,013 > 018,018,6.3.1. Chứng khoán cảm có của thành viên lưu ký,183.426.660.000,92.335.010.000,,183426660000.0,92335010000.0
019,013 > 019,019,6.3.2. Chứng khoán cảm có của khách hàng trong nước,2.729.511.350.000,2.426.669.800.000,,2729511350000.0,2426669800000.0
022,022,022,6.4. Chứng khoán tạm giữ,-,-,,,
027,022 > 027,027,6.5. Chứng khoán chờ thanh toán,1.031.209.930.000,741.167.730.000,,1031209930000.0,741167730000.0
028,022 > 028,028,6.5.1. Chứng khoán chờ thanh toán của thành viên lưu ký,1.587.070.000,301.000.000,,1587070000.0,301000000.0
029,022 > 029,029,6.5.2. Chứng khoán chờ thanh toán của khách hàng trong nước,1.018.534.010.000,735.731.330.000,,1018534010000.0,735731330000.0
030,022 > 030,030,6.5.3. Chứng khoán chờ thanh toán của khách hàng nước ngoài,11.088.850.000,5.135.400.000,,11088850000.0,5135400000.0
032,032,032,6.6. Chứng khoán phong tỏa chờ rút,-,-,,,
037,032 > 037,037,6.7. Chứng khoán chờ giao dịch,20.589.980.000,20.565.670.000,,20589980000.0,20565670000.0
038,038,038,6.7.1. Chứng khoán chờ giao dịch của thành viên lưu ký,-,-,,,
039,038 > 039,039,6.7.2. Chứng khoán chờ giao dịch của khách hàng trong nước,20.589.980.000,20.309.180.000,,20589980000.0,20309180000.0
040,038 > 040,040,6.7.3. Chứng khoán chờ giao dịch của khách hàng nước ngoài,-,256.490.000,,,256490000.0
042,042,042,6.8. Chứng khoán ký quỹ đảm bảo khoản vay,-,-,,,
047,047,047,6.9. Chứng khoán sửa lỗi giao dịch,-,-,,,
