row_label_raw,row_label_full,Danh sách bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Quỹ Đầu tư thành viên SSI Công ty TNHH Đầu tư NDH,Quỹ Đầu tư thành viên SSI Công ty TNHH Đầu tư NDH,Quỹ Đầu tư thành viên SSI Công ty TNHH Đầu tư NDH,Công ty con do SSI nằm giữ 80% vốn sở hữu Chủ tịch Hội đồng Quản trị SSI cũng lẻ chủ đầu tư vốn vào Công ty TNHH Đầu tư NDH,
Công ty TNHH Quản lý Quỹ SSI,Công ty TNHH Quản lý Quỹ SSI,Công ty TNHH Quản lý Quỹ SSI,Công ty con do SSI nằm giữ 100% vốn sở hữu,
Công ty Cổ phần Đầu tư Đường Mặt Trời,Công ty Cổ phần Đầu tư Đường Mặt Trời,Công ty Cổ phần Đầu tư Đường Mặt Trời,Công ty nhận vốn đầu tư của SSI và Chủ tịch Hội đồng Quản trị là em trai của Chủ tịch Hội đồng Quản trị SSI,
Daiwa Securities Group Inc,Daiwa Securities Group Inc,Daiwa Securities Group Inc,Cổ đông chiến lược,
Công ty Cổ phần Tập đoàn PAN và công ty con,Công ty Cổ phần Tập đoàn PAN và công ty con,Công ty Cổ phần Tập đoàn PAN và công ty con,"Chủ tịch Hội đồng Quản trị SSI cũng lẻ Chủ tịch Hội đồng Quản trị của PAN, Quyền Tổng Giám đốc của PAN là Trường Ban Kiểm soát của SSI",
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Phó Tổng Giám đốc SSI là Chủ tịch Hội đồng Thành viên của Công ty TNHH Bất động sản Sài Gòn Đan Linh,
Công ty TNHH Một Thành Viên Nguyễn Sài Gòn,Công ty TNHH Một Thành Viên Nguyễn Sài Gòn,Công ty TNHH Một Thành Viên Nguyễn Sài Gòn,Chủ tịch Công ty TNHH Một Thành viên Nguyễn Sài Gòn là em Chủ tịch Hội đồng Quản trị SSI,
