row_label_raw,row_label_full,col_0,Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Giá gốc,Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Dự phòng,Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Giá gốc,Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Dự phòng,Giá trị hợp lý > Ngày 31 tháng 12 năm 2015,Giá trị hợp lý > Ngày 31 tháng 12 năm 2014,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Giá gốc,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2015 > Dự phòng,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Giá gốc,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2014 > Dự phòng,numeric__Giá trị hợp lý > Ngày 31 tháng 12 năm 2015,numeric__Giá trị hợp lý > Ngày 31 tháng 12 năm 2014
Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),Nợ phải trả tài chính (*),,,,,,
Vay và nợ,Nợ phải trả tài chính (*) > Vay và nợ,Vay và nợ,4.601.347.967.537,-,1.506.127.466.877,-,4.601.347.967.537,1.506.127.466.877,4601347967537.0,,1506127466877.0,,4601347967537.0,1506127466877.0
Phải trả hoạt động giao dịch chứng khoán,Nợ phải trả tài chính (*) > Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,1.449.127.503.531,-,1.096.408.609.677,-,1.449.127.503.531,1.096.408.609.677,1449127503531.0,,1096408609677.0,,1449127503531.0,1096408609677.0
Phải trả tổ chức phát hành chứng khoán,Nợ phải trả tài chính (*) > Phải trả tổ chức phát hành chứng khoán,Phải trả tổ chức phát hành chứng khoán,689.438.960,-,1.884.039.160,-,689.438.960,1.884.039.160,689438960.0,,1884039160.0,,689438960.0,1884039160.0
Chi phí phải trả,Nợ phải trả tài chính (*) > Chi phí phải trả,Chi phí phải trả,71.228.108.976,-,22.665.399.700,-,71.228.108.976,22.665.399.700,71228108976.0,,22665399700.0,,71228108976.0,22665399700.0
"Các khoản phải trả, phải nộp khác","Nợ phải trả tài chính (*) > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",196.073.351.674,-,264.165.523.922,-,196.073.351.674,264.165.523.922,196073351674.0,,264165523922.0,,196073351674.0,264165523922.0
Tổng cộng,Nợ phải trả tài chính (*) > Tổng cộng,Tổng cộng,6.318.466.370.678,-,2.891.251.039.336,-,6.318.466.370.678,2.891.251.039.336,6318466370678.0,,2891251039336.0,,6318466370678.0,2891251039336.0
