row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015VND,Ngày 31 tháng 12năm 2014VND,Tỷ lệ sởhửu củaCông ty,numeric__Ngày 31 tháng 12năm 2015VND,numeric__Ngày 31 tháng 12năm 2014VND,numeric__Tỷ lệ sởhửu củaCông ty
Công ty TNHH Quản lý Quỹ SSI,Công ty TNHH Quản lý Quỹ SSI,Công ty TNHH Quản lý Quỹ SSI,30.000.000.000,30.000.000.000,100%,30000000000.0,30000000000.0,1.0
Quỹ Đầu tư Thành viên SSI,Quỹ Đầu tư Thành viên SSI,Quỹ Đầu tư Thành viên SSI,312.000.000.000,312.000.000.000,80%,312000000000.0,312000000000.0,0.8
,,,342.000.000.000,342.000.000.000,,342000000000.0,342000000000.0,
