row_label_raw,row_label_full,Chứng khoán,Số lượng,Giá trị ghi số VND,Giảm so với giá thị trường VND,Tổng giá trị thị trường VND,numeric__Số lượng,numeric__Giá trị ghi số VND,numeric__Giảm so với giá thị trường VND,numeric__Tổng giá trị thị trường VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
GAS,Cổ phiếu niêm yết > GAS,GAS,5.000,320.000.000,(139.000.000),181.000.000,5000.0,320000000.0,-139000000.0,181000000.0
KDC,Cổ phiếu niêm yết > KDC,KDC,29.481,768.078.392,(51.690.095),716.388.297,29481.0,768078392.0,-51690095.0,716388297.0
DBC,Cổ phiếu niêm yết > DBC,DBC,3.027.818,81.696.337.643,(2.064.724.243),79.631.613.400,3027818.0,81696337643.0,-2064724243.0,79631613400.0
VAF,Cổ phiếu niêm yết > VAF,VAF,1.563.270,38.072.107.961,(9.933.247.961),28.138.860.000,1563270.0,38072107961.0,-9933247961.0,28138860000.0
,,,4.625.569,120.856.523.996,(12.188.662.299),108.667.861.697,4625569.0,120856523996.0,-12188662299.0,108667861697.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
Công ty Cổ phần Đầu Tư Xây Dụng Delta AGF,Cổ phiếu chưa niêm yết > Công ty Cổ phần Đầu Tư Xây Dụng Delta AGF,Công ty Cổ phần Đầu Tư Xây Dụng Delta AGF,200.000,2.000.000.000,(2.000.000.000),-,200000.0,2000000000.0,-2000000000.0,
Công ty Cổ phần Nhựa Sam Phú,Cổ phiếu chưa niêm yết > Công ty Cổ phần Nhựa Sam Phú,Công ty Cổ phần Nhựa Sam Phú,418.273,4.182.730.000,(2.760.601.800),1.422.128.200,418273.0,4182730000.0,-2760601800.0,1422128200.0
Công ty Bất Đông Sản Đại Nam,Cổ phiếu chưa niêm yết > Công ty Bất Đông Sản Đại Nam,Công ty Bất Đông Sản Đại Nam,70.500,7.050.000.000,(7.050.000.000),-,70500.0,7050000000.0,-7050000000.0,
Công ty Cổ phần E Den,Cổ phiếu chưa niêm yết > Công ty Cổ phần E Den,Công ty Cổ phần E Den,199.650,4.650.000.000,(3.452.100.000),1.197.900.000,199650.0,4650000000.0,-3452100000.0,1197900000.0
Công ty Cổ phần Dược phẩm Viễn Đông,Cổ phiếu chưa niêm yết > Công ty Cổ phần Dược phẩm Viễn Đông,Công ty Cổ phần Dược phẩm Viễn Đông,2.874,117.732.575,(117.732.575),-,2874.0,117732575.0,-117732575.0,
Công ty Cổ phần Bá Hiến Viglacera,Cổ phiếu chưa niêm yết > Công ty Cổ phần Bá Hiến Viglacera,Công ty Cổ phần Bá Hiến Viglacera,6.054,253.765.058,(253.765.058),-,6054.0,253765058.0,-253765058.0,
Công ty Cổ phần Kim Tự Thấp Pythis,Cổ phiếu chưa niêm yết > Công ty Cổ phần Kim Tự Thấp Pythis,Công ty Cổ phần Kim Tự Thấp Pythis,260.118,4.284.711.000,(3.504.357.000),780.354.000,260118.0,4284711000.0,-3504357000.0,780354000.0
,,,1.157.469,22.538.938.633,(19.138.556.433),3.400.382.200,1157469.0,22538938633.0,-19138556433.0,3400382200.0
,,,5.783.038,143.395.462.629,(31.327.218.732),112.068.243.897,5783038.0,143395462629.0,-31327218732.0,112068243897.0
