row_label_raw,row_label_full,Chỉ tiêu,Đầu năm VND,Tăng dự phòng VND,Hoàn nhập dự phòng VND,Phân loại lại dự phòng VND,Cuối năm VND,numeric__Đầu năm VND,numeric__Tăng dự phòng VND,numeric__Hoàn nhập dự phòng VND,numeric__Phân loại lại dự phòng VND,numeric__Cuối năm VND
Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,Dự phòng giảm giá chứng khoán ngắn hạn,,,,,
Cổ phiếu niêm yết,Dự phòng giảm giá chứng khoán ngắn hạn > Cổ phiếu niêm yết,Cổ phiếu niêm yết,(1.314.628.366),(2.255.414.338),19.767.672.367,(28.386.291.962),(12.188.662.299),-1314628366.0,-2255414338.0,19767672367.0,-28386291962.0,-12188662299.0
Cổ phiếu chưa niêm yết,Dự phòng giảm giá chứng khoán ngắn hạn > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,(46.776.270.670),(748.577.725),-,28.386.291.962,(19.138.556.433),-46776270670.0,-748577725.0,,28386291962.0,-19138556433.0
,,,(48.090.899.036),(3.003.992.063),19.767.672.367,-,(31.327.218.732),-48090899036.0,-3003992063.0,19767672367.0,,-31327218732.0
Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,Dự phòng giảm giá chứng khoán dài hạn,,,,,
Cổ phiếu niêm yết,Dự phòng giảm giá chứng khoán dài hạn > Cổ phiếu niêm yết,Cổ phiếu niêm yết,(2.809.270.106),-,2.809.270.106,-,-,-2809270106.0,,2809270106.0,,
Cổ phiếu chưa niêm yết,Dự phòng giảm giá chứng khoán dài hạn > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,(34.376.876.804),(1.929.297.007),7.092.209.330,-,(29.213.964.481),-34376876804.0,-1929297007.0,7092209330.0,,-29213964481.0
Đầu tư dài hạn khác,Dự phòng giảm giá chứng khoán dài hạn > Đầu tư dài hạn khác,Đầu tư dài hạn khác,(297.743.000.000),-,247.748.510.284,49.994.489.716,-,-297743000000.0,,247748510284.0,49994489716.0,
,,,(334.929.146.910),(1.929.297.007),257.649.989.720,49.994.489.716,(29.213.964.481),-334929146910.0,-1929297007.0,257649989720.0,49994489716.0,-29213964481.0
,,,(383.020.045.946),(4.933.289.070),277.417.662.087,49.994.489.716,(60.541.183.213),-383020045946.0,-4933289070.0,277417662087.0,49994489716.0,-60541183213.0
