row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Ngân hàng đầu tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Ngân hàng đầu tư và các bộ phận khác VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,
1. Doanh thu thuần hoạt động kinh doanh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 1. Doanh thu thuần hoạt động kinh doanh,1. Doanh thu thuần hoạt động kinh doanh,605.486.600.374,574.793.676.372,264.103.275.827,52.918.674.444,1.497.302.227.017,605486600374.0,574793676372.0,264103275827.0,52918674444.0,1497302227017.0
2. Các chi phí trực tiếp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,211.768.315.459,(238.018.941.696),162.530.375.446,11.932.518.803,148.212.268.011,211768315459.0,-238018941696.0,162530375446.0,11932518803.0,148212268011.0
3. Khấu hao và các chi phí phân bổ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,117.837.048.567,11.029.384.247,6.322.922.465,14.396.947.099,149.586.302.379,117837048567.0,11029384247.0,6322922465.0,14396947099.0,149586302379.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,275.881.236.347,801.783.233.821,95.249.977.916,26.589.208.543,1.199.503.656.627,275881236347.0,801783233821.0,95249977916.0,26589208543.0,1199503656627.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,
1. Tài sản bộ phận trực tiếp,Tại ngày 31 tháng 12 năm 2015 > 1. Tài sản bộ phận trực tiếp,1. Tài sản bộ phận trực tiếp,4.614.097.942.972,3.108.714.270.542,4.877.028.170.610,3.965.865.519,12.603.806.249.643,4614097942972.0,3108714270542.0,4877028170610.0,3965865519.0,12603806249643.0
2. Tài sản bộ phận phân bổ,Tại ngày 31 tháng 12 năm 2015 > 2. Tài sản bộ phận phân bổ,2. Tài sản bộ phận phân bổ,139.193.259.325,7.940.555.062,2.802.548.845,13.078.561.279,163.014.924.511,139193259325.0,7940555062.0,2802548845.0,13078561279.0,163014924511.0
3. Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2015 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,273.065.687.658,,,,,273065687658.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2015 > Tổng tài sản,Tổng tài sản,4.753.291.202.297,3.116.654.825.604,4.879.830.719.455,17.044.426.798,13.039.886.861.812,4753291202297.0,3116654825604.0,4879830719455.0,17044426798.0,13039886861812.0
1. Nợ phải trả bộ phận trực tiếp,Tại ngày 31 tháng 12 năm 2015 > 1. Nợ phải trả bộ phận trực tiếp,1. Nợ phải trả bộ phận trực tiếp,1.462.823.255.389,19.616.365.890,4.830.015.033.733,4.893.483.331,6.317.348.138.343,1462823255389.0,19616365890.0,4830015033733.0,4893483331.0,6317348138343.0
2. Nợ phải trả bộ phận phân bổ,Tại ngày 31 tháng 12 năm 2015 > 2. Nợ phải trả bộ phận phân bổ,2. Nợ phải trả bộ phận phân bổ,102.036.363.664,5.820.866.383,2.054.423.429,9.587.309.338,119.498.962.814,102036363664.0,5820866383.0,2054423429.0,9587309338.0,119498962814.0
3. Nợ phải trả không phân bổ,Tại ngày 31 tháng 12 năm 2015 > 3. Nợ phải trả không phân bổ,3. Nợ phải trả không phân bổ,-,-,-,-,93.806.575.450,,,,,93806575450.0
Tổng công nợ,Tại ngày 31 tháng 12 năm 2015 > Tổng công nợ,Tổng công nợ,1.564.859.619.053,25.437.232.273,4.832.069.457.162,14.480.792.669,6.530.653.676.607,1564859619053.0,25437232273.0,4832069457162.0,14480792669.0,6530653676607.0
