row_label_raw,row_label_full,col_0,2017 triệu VND,2016 (trình bày lại) triệu VND,numeric__2017 triệu VND,numeric__2016 (trình bày lại) triệu VND
Thu từ xử lý tài sản xiết nợ,Thu từ xử lý tài sản xiết nợ,Thu từ xử lý tài sản xiết nợ,57.189,2.053,57189.0,2053.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,16.912,52.998,16912.0,52998.0
Thu từ thanh lý tài sản cố định,Thu từ thanh lý tài sản cố định,Thu từ thanh lý tài sản cố định,187.599,538.765,187599.0,538765.0
Thu khác,Thu khác,Thu khác,28.798,14.311,28798.0,14311.0
Thu về hoạt động kinh doanh khác,Thu về hoạt động kinh doanh khác,Thu về hoạt động kinh doanh khác,290.498,608.127,290498.0,608127.0
Chi xử lý tài sản xiết nợ,Chi xử lý tài sản xiết nợ,Chi xử lý tài sản xiết nợ,88.235,-,88235.0,
Chi công tác xã hội,Chi công tác xã hội,Chi công tác xã hội,7.355,29.885,7355.0,29885.0
"Chi phí thanh lý, nhượng bán tài sản cố định","Chi phí thanh lý, nhượng bán tài sản cố định","Chi phí thanh lý, nhượng bán tài sản cố định",-,160.710,,160710.0
Lỗ bán khoản đầu tư,Lỗ bán khoản đầu tư,Lỗ bán khoản đầu tư,31.758,16.320,31758.0,16320.0
Chi khác,Chi khác,Chi khác,19.898,40.085,19898.0,40085.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,147.246,247.000,147246.0,247000.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,143.252,361.127,143252.0,361127.0
