row_label_raw,row_label_full,col_0,Thuyết minh,2017 triệu VND,2016 (trình bày lại) triệu VND,numeric__Thuyết minh,numeric__2017 triệu VND,numeric__2016 (trình bày lại) triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,24,17.827.120,14.328.846,24.0,17827120.0,14328846.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,25,(13.352.818),(10.359.994),25.0,-13352818.0,-10359994.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,4.474.302,3.968.852,,4474302.0,3968852.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.439.522,347.615,,1439522.0,347615.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(61.874),(51.306),,-61874.0,-51306.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,26,1.377.648,296.309,26.0,1377648.0,296309.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,27,43.619,97.795,27.0,43619.0,97795.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,28,11.506,1.235,28.0,11506.0,1235.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,29,(12.372),10.339,29.0,-12372.0,10339.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,290.498,608.127,,290498.0,608127.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(147.246),(247.000),,-147246.0,-247000.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,30,143.252,361.127,30.0,143252.0,361127.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",31,51.950,2.082,31.0,51950.0,2082.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,6.089.905,4.737.739,,6089905.0,4737739.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,32,(2.741.242),(2.410.494),32.0,-2741242.0,-2410494.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,,3.348.663,2.327.245,,3348663.0,2327245.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(1.579.374),(1.250.527),,-1579374.0,-1250527.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,1.769.289,1.076.718,,1769289.0,1076718.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,22.1,(343.415),(214.927),221.0,-343415.0,-214927.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,,(343.415),(214.927),,-343415.0,-214927.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,1.425.874,861.791,,1425874.0,861791.0
