row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,109.936,30.963,109936.0,30963.0
Phải thu cán bộ công nhân viên,Phải thu cán bộ công nhân viên,Phải thu cán bộ công nhân viên,19.627,23.264,19627.0,23264.0
Phải thu nội bộ khác,Phải thu nội bộ khác,Phải thu nội bộ khác,90.309,7.699,90309.0,7699.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,12.554.229,7.467.209,12554229.0,7467209.0
Phải thu ngân sách,Phải thu ngân sách,Phải thu ngân sách,24.816,62.751,24816.0,62751.0
Chi phí chờ phân bổ,Chi phí chờ phân bổ,Chi phí chờ phân bổ,27.224,25.670,27224.0,25670.0
Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,-,232.623,,232623.0
Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,Các khoản bán nợ VAMC chưa nhận được trái phiếu Đặt cọc môi giới chứng khoán,250.000,70.000,250000.0,70000.0
Phải thu liên quan thư tín dụng trả chậm,Phải thu liên quan thư tín dụng trả chậm,Phải thu liên quan thư tín dụng trả chậm,8.095.834,6.804.949,8095834.0,6804949.0
Phải thu tiền bán chứng khoán,Phải thu tiền bán chứng khoán,Phải thu tiền bán chứng khoán,3.495.389,-,3495389.0,
Phải thu tiền cung cấp dịch vụ tư vấn,Phải thu tiền cung cấp dịch vụ tư vấn,Phải thu tiền cung cấp dịch vụ tư vấn,416.070,-,416070.0,
Phải thu khác,Phải thu khác,Phải thu khác,244.896,271.216,244896.0,271216.0
,,,12.664.165,7.498.172,12664165.0,7498172.0
