row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 triệu VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,17.523.738,18.915.863,17523738.0,18915863.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,16.220.114,17.517.051,16220114.0,17517051.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,1.303.624,1.398.812,1303624.0,1398812.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,175.718.094,145.782.617,175718094.0,145782617.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,164.028.428,132.578.175,164028428.0,132578175.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,11.689.666,13.204.442,11689666.0,13204442.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,89.831,24.389,89831.0,24389.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,89.809,204,89809.0,204.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,22,24.185,22.0,24185.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,879.445,1.168.325,879445.0,1168325.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,872.353,1.156.856,872353.0,1156856.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,7.092,11.469,7092.0,11469.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,-,4.456,,4456.0
Chuyển tiền phải trả bằng rgoại tệ,Chuyển tiền phải trả bằng rgoại tệ,Chuyển tiền phải trả bằng rgoại tệ,-,4.456,,4456.0
,,,194.211.108,165.895.650,194211108.0,165895650.0
