row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,32.224.189,27.410.838,32224189.0,27410838.0
Tiền gửi thanh toán,Tiền gửi thanh toán,Tiền gửi thanh toán,26.142.012,17.472.981,26142012.0,17472981.0
Bằng VND,Bằng VND,Bằng VND,20.561.678,11.706.475,20561678.0,11706475.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,5.580.334,5.766.506,5580334.0,5766506.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,6.082.177,9.937.857,6082177.0,9937857.0
Bằng VND,Bằng VND,Bằng VND,3.130.000,8.165.137,3130000.0,8165137.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,2.952.177,1.772.720,2952177.0,1772720.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,5.654.006,6.911.000,5654006.0,6911000.0
Bằng VND,Bằng VND,Bằng VND,5.654.006,6.911.000,5654006.0,6911000.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,(5.137),,-5137.0
,,,37.878.195,34.316.701,37878195.0,34316701.0
