row_label_raw,row_label_full,col_0,31/12/2017 > %/năm,31/12/2016 > %/năm,numeric__31/12/2017 > %/năm,numeric__31/12/2016 > %/năm
Cho vay thương mại bằng VND,Cho vay thương mại bằng VND,Cho vay thương mại bằng VND,"7,50% - 12,00%","5,01% - 11,25%",,
Cho vay thương mại bằng ngoại tệ,Cho vay thương mại bằng ngoại tệ,Cho vay thương mại bằng ngoại tệ,"1,90% - 5,01%","1,00% - 5,03%",,
