row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc triệu VND",Máy móc thiết bị triệu VND,Phương tiện vận tải triệu VND,Thiết bị văn phòng triệu VND,TSCĐ hữu hình khác triệu VND,Tổng cộng triệu VND,"numeric__Nhà cửa, vật kiến trúc triệu VND",numeric__Máy móc thiết bị triệu VND,numeric__Phương tiện vận tải triệu VND,numeric__Thiết bị văn phòng triệu VND,numeric__TSCĐ hữu hình khác triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,287.771,290.758,193.359,85.666,26.530,884.084,287771.0,290758.0,193359.0,85666.0,26530.0,884084.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,19.703,9.950,4.479,3.083,37.215,,19703.0,9950.0,4479.0,3083.0,37215.0
Tăng do hoàn thành mua sắm,Nguyên giá > Tăng do hoàn thành mua sắm,Tăng do hoàn thành mua sắm,52.748,-,-,-,-,52.748,52748.0,,,,,52748.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.467),(726),(3.077),(1.928),(2.757),(10.955),-2467.0,-726.0,-3077.0,-1928.0,-2757.0,-10955.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,(2.545),-,(2.545),,,,-2545.0,,-2545.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,338.052,309.735,200.232,85.672,26.856,960.547,338052.0,309735.0,200232.0,85672.0,26856.0,960547.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,69.199,209.060,115.961,78.860,18.412,491.492,69199.0,209060.0,115961.0,78860.0,18412.0,491492.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,13.781,36.438,18.197,4.130,3.002,75.548,13781.0,36438.0,18197.0,4130.0,3002.0,75548.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.467),(676),(3.054),(1.916),(2.699),(10.812),-2467.0,-676.0,-3054.0,-1916.0,-2699.0,-10812.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,80.513,244.822,131.104,81.074,18.715,556.228,80513.0,244822.0,131104.0,81074.0,18715.0,556228.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,218.572,81.698,77.398,6.806,8.118,392.592,218572.0,81698.0,77398.0,6806.0,8118.0,392592.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,257.539,64.913,69.128,4.598,8.141,404.319,257539.0,64913.0,69128.0,4598.0,8141.0,404319.0
