row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 triệu VND,31/12/2016(trình bày lại) triệu VND,numeric__Thuyết minh,numeric__31/12/2017 triệu VND,numeric__31/12/2016(trình bày lại) triệu VND
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,7.876.270,7.845.337,,7876270.0,7845337.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,12.749.301,7.612.667,,12749301.0,7612667.0
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,15.1,12.664.165,7.498.172,151.0,12664165.0,7498172.0
- Mua sắm TSCĐ và XDCB dở dang,- Mua sắm TSCĐ và XDCB dở dang,- Mua sắm TSCĐ và XDCB dở dang,15.2,85.136,114.495,152.0,85136.0,114495.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,5.294.790,6.660.633,,5294790.0,6660633.0
- Các khoản ủy thác đầu tư,- Các khoản ủy thác đầu tư,- Các khoản ủy thác đầu tư,15.3,1.926.309,1.926.309,153.0,1926309.0,1926309.0
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,15.4,3.368.481,4.734.324,154.0,3368481.0,4734324.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,15.5,(400.409),(143.335),155.0,-400409.0,-143335.0
,,,,25.519.952,21.975.302,,25519952.0,21975302.0
