row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,9.997,8.666,9997.0,8666.0
Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,597,695,597.0,695.0
Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,9.400,7.971,9400.0,7971.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,420.900,373.975,420900.0,373975.0
Thuế GTGT,Thuế GTGT,Thuế GTGT,41.055,36.966,41055.0,36966.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,140.112,35.288,140112.0,35288.0
Các khoản thuế phải nộp Nhà nước khác,Các khoản thuế phải nộp Nhà nước khác,Các khoản thuế phải nộp Nhà nước khác,7.139,13.377,7139.0,13377.0
Các khoản chờ thanh toán,Các khoản chờ thanh toán,Các khoản chờ thanh toán,230.764,231.410,230764.0,231410.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,1.830,56.934,1830.0,56934.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",34.383,24.009,34383.0,24009.0
,,,465.280,406.650,465280.0,406650.0
