row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__Thuyết minh,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng","TÀI SẢN > Tiền mặt, vàng","Tiền mặt, vàng",6,1.396.686,1.249.916,6.0,1396686.0,1249916.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),7,2.970.959,1.880.377,7.0,2970959.0,1880377.0
Tiền gửi tại và cho vay các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,8,37.878.195,34.316.701,8.0,37878195.0,34316701.0
Tiền gửi tại TCTD khác,TÀI SẢN > Tiền gửi tại TCTD khác,Tiền gửi tại TCTD khác,,32.224.189,27.410.838,,32224189.0,27410838.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,5.654.006,6.911.000,,5654006.0,6911000.0
Dự phòng rủi ro cho vay các TCTD khác,TÀI SẢN > Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,-,(5.137),,,-5137.0
Các công cụ TC phải sinh và các tài sản TC khác,TÀI SẢN > Các công cụ TC phải sinh và các tài sản TC khác,Các công cụ TC phải sinh và các tài sản TC khác,9,134.896,45.843,9.0,134896.0,45843.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,189.867.672,155.132.976,,189867672.0,155132976.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,192.574.825,156.824.177,10.0,192574825.0,156824177.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.707.153),(1.691.201),11.0,-2707153.0,-1691201.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,21.207.964,18.846.623,12.0,21207964.0,18846623.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,12.268.348,10.788.497,121.0,12268348.0,10788497.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,10.682.862,9.439.853,122.0,10682862.0,9439853.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(1.743.246),(1.381.727),,-1743246.0,-1381727.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,3.439.577,2.580.377,13.0,3439577.0,2580377.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,3.224.112,2.371.822,,3224112.0,2371822.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,227.250,214.393,,227250.0,214393.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(11.785),(5.838),,-11785.0,-5838.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,14,3.930.975,3.927.363,14.0,3930975.0,3927363.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,404.319,392.592,141.0,404319.0,392592.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,960.547,884.084,,960547.0,884084.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(556.228),(491.492),,-556228.0,-491492.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,3.526.656,3.534.771,142.0,3526656.0,3534771.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,3.726.265,3.704.574,,3726265.0,3704574.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(199.609),(169.803),,-199609.0,-169803.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15,25.519.952,21.975.302,15.0,25519952.0,21975302.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,,12.749.301,7.612.667,,12749301.0,7612667.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,7.876.270,7.845.337,,7876270.0,7845337.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,5.294.790,6.660.633,,5294790.0,6660633.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(400.409),(143.335),,-400409.0,-143335.0
