row_label_raw,row_label_full,col_0,Tín dụng,Đầu tư,Dịch vụ,Kinh doanh vàhuy động vốn,Đơn vị: triệu VND,numeric__Tín dụng,numeric__Đầu tư,numeric__Dịch vụ,numeric__Kinh doanh vàhuy động vốn,numeric__Đơn vị: triệu VND
,,,Tín dụng,Đầu tư,Dịch vụ,Kinh doanh vàhuy động vốn,Tổng cộng,,,,,
Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,Năm 2017,,,,,
Doanh thu,Năm 2017 > Doanh thu,Doanh thu,18.074.449,1.264.560,1.737.850,1.171.619,22.248.478,18074449.0,1264560.0,1737850.0,1171619.0,22248478.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,
1. Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2017 > 1. Tài sản bộ phận,1. Tài sản bộ phận,203.098.370,26.653.264,165.766,37.436.938,267.354.338,203098370.0,26653264.0,165766.0,37436938.0,267354338.0
2. Tài sản phân bổ,Tại ngày 31 tháng 12 năm 2017 > 2. Tài sản phân bổ,2. Tài sản phân bổ,8.952.826,53.308,1.137.242,8.849.162,18.992.538,8952826.0,53308.0,1137242.0,8849162.0,18992538.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,212.051.196,26.706.572,1.303.008,46.286.100,286.346.876,212051196.0,26706572.0,1303008.0,46286100.0,286346876.0
1. Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2017 > 1. Nợ phải trả bộ phận,1. Nợ phải trả bộ phận,(393.595),-,(103.677),(270.781.533),(271.278.805),-393595.0,,-103677.0,-270781533.0,-271278805.0
2. Nợ phân bổ,Tại ngày 31 tháng 12 năm 2017 > 2. Nợ phân bổ,2. Nợ phân bổ,(176.168),(1.945),(41.488),(322.830),(542.431),-176168.0,-1945.0,-41488.0,-322830.0,-542431.0
Tổng công nợ,Tại ngày 31 tháng 12 năm 2017 > Tổng công nợ,Tổng công nợ,(569.763),(1.945),(145.165),(271.104.363),(271.821.236),-569763.0,-1945.0,-145165.0,-271104363.0,-271821236.0
