row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__Thuyết minh,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,16,2.758.343,2.572.420,16.0,2758343.0,2572420.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17,53.269.172,40.205.026,17.0,53269172.0,40205026.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,33.566.611,23.389.902,,33566611.0,23389902.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,19.702.561,16.815.124,,19702561.0,16815124.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,18,194.211.108,165.895.650,18.0,194211108.0,165895650.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro",19,1.064.161,808.887,19.0,1064161.0,808887.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,20,15.967.269,13.767.675,20.0,15967269.0,13767675.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,4.551.183,3.582.817,,4551183.0,3582817.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,4.085.903,3.176.167,,4085903.0,3176167.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,21,465.280,406.650,21.0,465280.0,406650.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,271.821.236,226.832.475,,271821236.0,226832475.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,11.293.347,11.293.347,,11293347.0,11293347.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,11.196.891,11.196.891,,11196891.0,11196891.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,101.716,101.716,,101716.0,101716.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(5.260),(5.260),,-5260.0,-5260.0
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,,1.201.608,994.855,,1201608.0,994855.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,2.030.685,834.801,,2030685.0,834801.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,23,14.525.640,13.123.003,23.0,14525640.0,13123003.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,286.346.876,239.955.478,,286346876.0,239955478.0
