row_label_raw,row_label_full,EUR được quy đổi,USD được quy đổi,Các ngoại tệ khác được quy đổi,Đơn vị: triệu VND Tổng,numeric__USD được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Đơn vị: triệu VND Tổng
34.847,34.847,34.847,469.184,6.694,510.725,469184.0,6694.0,510725.0
-,-,-,1.394.747,-,1.394.747,1394747.0,,1394747.0
106.368,106.368,106.368,8.363.994,62.149,8.532.511,8363994.0,62149.0,8532511.0
95.407,95.407,95.407,531.333,-,626.740,531333.0,,626740.0
18.850,18.850,18.850,9.208.635,-,9.227.485,9208635.0,,9227485.0
-,-,-,1.080.802,1.091.910,2.172.712,1080802.0,1091910.0,2172712.0
40,40,40,8.748.154,111,8.748.305,8748154.0,111.0,8748305.0
255.512,255.512,255.512,29.796.849,1.160.864,31.213.225,29796849.0,1160864.0,31213225.0
-,-,-,12.274.133,2.485,12.276.618,12274133.0,2485.0,12276618.0
251.617,251.617,251.617,12.710.052,38.735,13.000.404,12710052.0,38735.0,13000404.0
-,-,-,4.897.685,13.038,4.910.723,4897685.0,13038.0,4910723.0
2.166,2.166,2.166,-,-,2.166,,,2166.0
351,351,351,13.283,-,13.634,13283.0,,13634.0
254.134,254.134,254.134,29.895.153,54.258,30.203.545,29895153.0,54258.0,30203545.0
1.378,1.378,1.378,(98.304),1.106.606,1.009.680,-98304.0,1106606.0,1009680.0
1.378,1.378,1.378,(98.304),1.106.606,1.009.680,-98304.0,1106606.0,1009680.0
