row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ Đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ Đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,10.000.000.000,-,22.373.441.422,32.373.441.422,10000000000.0,,22373441422.0,32373441422.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,120.000.000.000,-,-,120.000.000.000,120000000000.0,,,120000000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,65.052.624.686,65.052.624.686,,,65052624686.0,65052624686.0
Giảm do phạt thuế theo biên bản kiểm tra,Giảm do phạt thuế theo biên bản kiểm tra,Giảm do phạt thuế theo biên bản kiểm tra,-,-,(339.544.815),(339.544.815),,,-339544815.0,-339544815.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,130.000.000.000,-,87.086.521.293,217.086.521.293,130000000000.0,,87086521293.0,217086521293.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,130.000.000.000,-,87.086.521.293,217.086.521.293,130000000000.0,,87086521293.0,217086521293.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,128.991.948.892,128.991.948.892,,,128991948892.0,128991948892.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,12.899.194.890,(32.247.987.225),(19.348.792.335),,12899194890.0,-32247987225.0,-19348792335.0
Giảm do phạt thuế theo biên bản kiểm tra,Giảm do phạt thuế theo biên bản kiểm tra,Giảm do phạt thuế theo biên bản kiểm tra,-,-,(472.762.530),(472.762.530),,,-472762530.0,-472762530.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,130.000.000.000,12.899.194.890,183.357.720.430,326.256.915.320,130000000000.0,12899194890.0,183357720430.0,326256915320.0
