row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2016,01/01/2016,numeric__Mối quan hệ,numeric__31/12/2016,numeric__01/01/2016
,,,Mối quan hệ,VND,VND,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,2.137.198.551,107.277.573.206,,2137198551.0,107277573206.0
Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty mẹ,397.113.526,107.277.573.206,,397113526.0,107277573206.0
Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty con,1.740.085.025,-,,1740085025.0,
Phải thu khác,Phải thu khác,Phải thu khác,,282.000.000.000,-,,282000000000.0,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỳ,Cùng chủ sở hữu,282.000.000.000,-,,282000000000.0,
Phải trả người bán,Phải trả người bán,Phải trả người bán,,19.099.820.394,8.542.251.326,,19099820394.0,8542251326.0
Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty mẹ,-,8.542.251.326,,,8542251326.0
Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty Cổ phần Bất động sản Ngôi sao Toàn Cầu,Công ty con,19.099.820.394,-,,19099820394.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,21.912.696.999,-,,21912696999.0,
Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Công ty con,21.912.696.999,-,,21912696999.0,
Phải trả khác,Phải trả khác,Phải trả khác,,-,23.501.411.200,,,23501411200.0
Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,Công ty mẹ,-,23.501.411.200,,,23501411200.0
Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,,2.885.252.325,1.148.180.036,,2885252325.0,1148180036.0
,,,,Năm 2016,Năm 2015,,,
,,,,VND,VND,,,
Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,Thu nhập của Ban Tổng Giám đốc và Hội đồng Quản trị,,2.885.252.325,1.148.180.036,,2885252325.0,1148180036.0
