row_label_raw,row_label_full,col_0,31/12/2016,31/12/2016_1,01/01/2016,01/01/2016_1,numeric__31/12/2016,numeric__31/12/2016_1,numeric__01/01/2016,numeric__01/01/2016_1
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,10.090.570.395,-,323.851.714.244,-,10090570395.0,,323851714244.0,
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",802.759.538.201,(5.391.000.324),144.471.685.671,(5.391.000.324),802759538201.0,-5391000324.0,144471685671.0,-5391000324.0
,,,812.850.108.596,(5.391.000.324),468.323.399.915,(5.391.000.324),812850108596.0,-5391000324.0,468323399915.0,-5391000324.0
,,,,,Giá trị sổ kế toán,Giá trị sổ kế toán,,,,
,,,,,31/12/2016VND,01/01/2016VND,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,329.875.000.000,77.144.555.000,,,329875000000.0,77144555000.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",,,41.086.565.970,117.694.968.361,,,41086565970.0,117694968361.0
,,,,,370.961.565.970,194.839.523.361,,,370961565970.0,194839523361.0
